Tarih,TP_FG_I5
2000-01-01,323822.6
2000-02-01,292941.5
2000-03-01,287641.9
2000-04-01,396564.3
2000-05-01,406331.8
2000-06-01,425052.4
2000-07-01,375110.9
2000-08-01,377602.0
2000-09-01,378059.2
2000-10-01,541909.9
2000-11-01,525989.4
2000-12-01,516439.7
2001-01-01,434085.6
2001-02-01,443656.0
2001-03-01,446278.1
2001-04-01,611026.4
2001-05-01,632329.4
2001-06-01,660675.5
2001-07-01,598256.3
2001-08-01,559194.7
2001-09-01,594376.0
2001-10-01,1009816.3
2001-11-01,973845.6
2001-12-01,951756.4
2002-01-01,790892.3
2002-02-01,782436.3
2002-03-01,790959.5
2002-04-01,1064669.8
2002-05-01,1087449.9
2002-06-01,1121821.8
2002-07-01,1075814.4
2002-08-01,916391.8
2002-09-01,977566.2
2002-10-01,1410437.6
2002-11-01,1371234.4
2002-12-01,1341155.5
2003-01-01,1148164.4
2003-02-01,1090214.8
2003-03-01,1098416.3
2003-04-01,1590324.8
2003-05-01,1630534.4
2003-06-01,1700665.7
2003-07-01,1432957.6
2003-08-01,1394851.2
2003-09-01,1363692.3
2003-10-01,1604218.1
2003-11-01,1543419.8
2003-12-01,1520776.7
2004-01-01,1317227.5
2004-02-01,1226614.8
2004-03-01,1239018.5
2004-04-01,1562574.2
2004-05-01,1589397.7
2004-06-01,1660167.2
2004-07-01,1373299.1
2004-08-01,1302066.2
2004-09-01,1398713.4
2004-10-01,1553246.2
2004-11-01,1510879.4
2004-12-01,1458218.8
2005-01-01,1179794.0
2005-02-01,1196307.1
2005-03-01,1211141.4
2005-04-01,1452076.6
2005-05-01,1492082.1
2005-06-01,1543943.2
2005-07-01,1322673.9
2005-08-01,1236539.3
2005-09-01,1227014.7
2005-10-01,1511407.2
2005-11-01,1432063.0
2005-12-01,1407550.6
2006-01-01,1129512.6
2006-02-01,1144712.7
2006-03-01,1080003.1
2006-04-01,1379509.7
2006-05-01,1382775.5
2006-06-01,1432784.5
2006-07-01,1211914.9
2006-08-01,1141540.3
2006-09-01,1162925.4
2006-10-01,1545709.5
2006-11-01,1454034.1
2006-12-01,1436270.1
2007-01-01,1125491.8
2007-02-01,1145167.1
2007-03-01,1161663.8
2007-04-01,1540511.6
2007-05-01,1547407.4
2007-06-01,1605643.2
2007-07-01,1342522.1
2007-08-01,1256714.0
2007-09-01,1286396.5
2007-10-01,1687944.0
2007-11-01,1591966.1
2007-12-01,1553572.0
2008-01-01,1282867.1
2008-02-01,1191619.5
2008-03-01,1211925.5
2008-04-01,1624933.7
2008-05-01,1641068.7
2008-06-01,1710707.6
2008-07-01,1297272.6
2008-08-01,1282731.9
2008-09-01,1322279.6
2008-10-01,1640059.0
2008-11-01,1544848.5
2008-12-01,1293329.6
2009-01-01,1274727.7
2009-02-01,1298025.3
2009-03-01,1325693.5
2009-04-01,1690414.5
2009-05-01,1709945.3
2009-06-01,1449604.8
2009-07-01,1508420.0
2009-08-01,1431348.8
2009-09-01,1457582.3
2009-10-01,1746108.2
2009-11-01,1649893.5
2009-12-01,1612371.1
2010-01-01,1472004.6
2010-02-01,1303717.0
2010-03-01,1335005.7
2010-04-01,1787157.2
2010-05-01,1802095.8
2010-06-01,1875665.8
2010-07-01,1498390.9
2010-08-01,1416941.6
2010-09-01,1472303.1
2010-10-01,1894609.4
2010-11-01,1805064.8
2010-12-01,1780543.9
2011-01-01,1341905.8
2011-02-01,1365410.4
2011-03-01,1390726.0
2011-04-01,1938168.9
2011-05-01,1964049.6
2011-06-01,2051473.8
2011-07-01,1642257.7
2011-08-01,1577782.5
2011-09-01,1628659.0
2011-10-01,2035782.2
2011-11-01,1945232.8
2011-12-01,1912017.7
2012-01-01,1485093.2
2012-02-01,1503379.9
2012-03-01,1536449.7
2012-04-01,2085715.7
2012-05-01,2110988.6
2012-06-01,2201715.8
2012-07-01,1716788.8
2012-08-01,1648196.5
2012-09-01,1754007.7
2012-10-01,2269204.5
2012-11-01,2162202.0
2012-12-01,2125139.5
2013-01-01,1594945.1
2013-02-01,1610971.1
2013-03-01,1644367.3
2013-04-01,2253558.5
2013-05-01,2301760.9
2013-06-01,2442213.0
2013-07-01,1941062.9
2013-08-01,1874452.3
2013-09-01,2032830.5
2013-10-01,2407409.0
2013-11-01,2259093.3
2013-12-01,2140920.3
2014-01-01,1791728.4
2014-02-01,1814329.1
2014-03-01,1858517.0
2014-04-01,2446115.9
2014-05-01,2489597.5
2014-06-01,2599157.9
2014-07-01,2128243.9
2014-08-01,2077990.8
2014-09-01,2323146.3
2014-10-01,2684507.3
2014-11-01,2511076.7
2014-12-01,2403772.3
2015-01-01,1972091.5
2015-02-01,1996214.0
2015-03-01,1953260.1
2015-04-01,2221633.6
2015-05-01,2355259.2
2015-06-01,2409281.3
2015-07-01,2340640.4
2015-08-01,2173487.1
2015-09-01,2319727.6
2015-10-01,2468559.0
2015-11-01,2425472.2
2015-12-01,2375878.3
2016-01-01,2075918.1
2016-02-01,2001796.5
2016-03-01,2058299.7
2016-04-01,2293831.5
2016-05-01,2455961.4
2016-06-01,2497335.2
2016-07-01,2473199.8
2016-08-01,2223726.3
2016-09-01,2472004.3
2016-10-01,2585442.4
2016-11-01,2495550.4
2016-12-01,2457626.0
2017-01-01,2153197.4
2017-02-01,2097183.2
2017-03-01,2172381.0
2017-04-01,2505902.6
2017-05-01,2664989.1
2017-06-01,2742104.5
2017-07-01,2771793.2
2017-08-01,2549951.8
2017-09-01,2700556.4
2017-10-01,2891629.2
2017-11-01,2772494.9
2017-12-01,2734612.1
2018-01-01,2460517.6
2018-02-01,2524954.4
2018-03-01,2595991.9
2018-04-01,2991320.5
2018-05-01,3200670.4
2018-06-01,3284271.3
2018-07-01,3286295.6
2018-08-01,3068394.3
2018-09-01,3215209.4
2018-10-01,3723370.4
2018-11-01,3497586.9
2018-12-01,3418439.2
2019-01-01,3162035.9
2019-02-01,3225153.1
2019-03-01,3277078.5
2019-04-01,3618994.1
2019-05-01,3683838.0
2019-06-01,3754585.3
2019-07-01,3736359.8
2019-08-01,2533679.2
2019-09-01,3615096.1
2019-10-01,4027818.2
2019-11-01,3703568.3
2019-12-01,3656422.0
2020-01-01,3295584.8
2020-02-01,3405576.4
2020-03-01,3484060.4
2020-04-01,3604294.5
2020-05-01,3913716.0
2020-06-01,4036266.4
2020-07-01,4103994.0
2020-08-01,3877479.9
2020-09-01,4023661.5
2020-10-01,4313963.9
2020-11-01,3976121.1
2020-12-01,3934403.1
2021-01-01,3727741.3
2021-02-01,3880522.6
2021-03-01,3986692.6
2021-04-01,4337748.0
2021-05-01,4644975.1
2021-06-01,4678871.5
2021-07-01,4693959.3
2021-08-01,4569896.8
2021-09-01,4873075.3
2021-10-01,5007256.0
2021-11-01,4803763.2
2021-12-01,4764850.9
2022-01-01,4662010.1
2022-02-01,4767454.2
2022-03-01,4896308.4
2022-04-01,6495398.1
2022-05-01,6825290.1
2022-06-01,7063713.0
2022-07-01,7634271.1
2022-08-01,7100936.2
2022-09-01,7906329.2
2022-10-01,8612982.9
2022-11-01,8045053.8
2022-12-01,8101647.4
2023-01-01,7935069.2
2023-02-01,8226413.2
2023-03-01,8553051.7
2023-04-01,11065733.9
2023-05-01,12070210.7
2023-06-01,12619641.1
2023-07-01,13566734.4
2023-08-01,12939955.9
2023-09-01,15306972.5
2023-10-01,17740260.2
2023-11-01,16914268.3
2023-12-01,16832656.5
2024-01-01,16078565.5
2024-02-01,16384529.7
2024-03-01,17551188.7
2024-04-01,21640673.9
2024-05-01,23261724.7
2024-06-01,23946262.2
2024-07-01,24528880.3
2024-08-01,22894503.0
2024-09-01,24927007.5
2024-10-01,28186760.1
2024-11-01,28058646.6
2024-12-01,28278867.5
2025-01-01,27075106.6
2025-02-01,27310680.4
2025-03-01,28606761.1
2025-04-01,32989870.6
2025-05-01,33688941.5
