Tarih,TP_FG_I7
2000-01-01,300767.9
2000-02-01,302714.2
2000-03-01,334695.0
2000-04-01,335372.8
2000-05-01,338885.2
2000-06-01,345597.4
2000-07-01,349400.3
2000-08-01,349400.3
2000-09-01,383254.5
2000-10-01,383254.6
2000-11-01,383807.9
2000-12-01,383807.9
2001-01-01,387709.3
2001-02-01,392979.5
2001-03-01,420068.1
2001-04-01,490988.2
2001-05-01,504630.1
2001-06-01,524431.2
2001-07-01,563945.0
2001-08-01,568991.1
2001-09-01,613780.8
2001-10-01,622911.0
2001-11-01,623689.8
2001-12-01,634506.8
2002-01-01,647910.6
2002-02-01,657460.2
2002-03-01,662706.8
2002-04-01,664282.2
2002-05-01,667640.4
2002-06-01,679970.3
2002-07-01,733437.9
2002-08-01,738144.1
2002-09-01,746080.1
2002-10-01,746917.3
2002-11-01,744780.2
2002-12-01,748187.4
2003-01-01,755495.7
2003-02-01,780292.0
2003-03-01,866901.2
2003-04-01,931211.3
2003-05-01,929254.6
2003-06-01,950713.4
2003-07-01,951885.2
2003-08-01,955535.2
2003-09-01,952439.4
2003-10-01,954283.8
2003-11-01,954283.8
2003-12-01,955021.6
2004-01-01,952341.6
2004-02-01,941681.6
2004-03-01,944212.1
2004-04-01,933367.7
2004-05-01,939472.8
2004-06-01,962517.2
2004-07-01,971490.5
2004-08-01,977231.5
2004-09-01,981694.8
2004-10-01,996258.9
2004-11-01,996627.8
2004-12-01,998721.1
2005-01-01,1080670.1
2005-02-01,1088614.9
2005-03-01,1081300.8
2005-04-01,1082761.0
2005-05-01,1091303.5
2005-06-01,1104304.3
2005-07-01,1170548.5
2005-08-01,1179968.3
2005-09-01,1181233.9
2005-10-01,1171153.6
2005-11-01,1167259.6
2005-12-01,1168719.8
2006-01-01,1256777.0
2006-02-01,1249184.9
2006-03-01,1254539.1
2006-04-01,1258142.1
2006-05-01,1259116.6
2006-06-01,1276184.1
2006-07-01,1293067.0
2006-08-01,1286252.6
2006-09-01,1267516.7
2006-10-01,1266543.3
2006-11-01,1253001.3
2006-12-01,1322417.5
2007-01-01,1307547.3
2007-02-01,1310954.5
2007-03-01,1319693.6
2007-04-01,1325416.7
2007-05-01,1336151.6
2007-06-01,1342824.7
2007-07-01,1343804.9
2007-08-01,1344173.4
2007-09-01,1343082.1
2007-10-01,1357889.2
2007-11-01,1369084.4
2007-12-01,1378581.3
2008-01-01,1379534.3
2008-02-01,1332390.3
2008-03-01,1423182.8
2008-04-01,1429537.1
2008-05-01,1462034.7
2008-06-01,1484290.4
