Tarih,TP_FG_I6
2000-01-01,243430.6
2000-02-01,246132.6
2000-03-01,288255.4
2000-04-01,290451.3
2000-05-01,292656.2
2000-06-01,296935.4
2000-07-01,306135.8
2000-08-01,309206.8
2000-09-01,313232.3
2000-10-01,315378.3
2000-11-01,318847.9
2000-12-01,320075.7
2001-01-01,332470.6
2001-02-01,334600.4
2001-03-01,341162.0
2001-04-01,406432.8
2001-05-01,411249.6
2001-06-01,426300.4
2001-07-01,449907.1
2001-08-01,452961.4
2001-09-01,459403.3
2001-10-01,475671.8
2001-11-01,481076.1
2001-12-01,491590.2
2002-01-01,515790.4
2002-02-01,524278.0
2002-03-01,699453.1
2002-04-01,705189.5
2002-05-01,708413.9
2002-06-01,710074.6
2002-07-01,731517.7
2002-08-01,736416.1
2002-09-01,738181.2
2002-10-01,740666.8
2002-11-01,742757.3
2002-12-01,747976.4
2003-01-01,761538.0
2003-02-01,920460.9
2003-03-01,923608.5
2003-04-01,930472.3
2003-05-01,932458.3
2003-06-01,934268.5
2003-07-01,937277.2
2003-08-01,939611.7
2003-09-01,941052.7
2003-10-01,941581.8
2003-11-01,942410.1
2003-12-01,943007.5
2004-01-01,1002024.4
2004-02-01,1050080.0
2004-03-01,1050263.9
2004-04-01,1055258.6
2004-05-01,1055634.8
2004-06-01,1056025.2
2004-07-01,1066690.8
2004-08-01,1072544.7
2004-09-01,1072825.5
2004-10-01,1073034.8
2004-11-01,1075301.7
2004-12-01,1075432.6
2005-01-01,1081592.4
2005-02-01,1016311.2
2005-03-01,1016549.2
2005-04-01,1017414.8
2005-05-01,1017938.7
2005-06-01,1018129.1
2005-07-01,1012032.9
2005-08-01,1012181.4
2005-09-01,1012792.4
2005-10-01,1014025.8
2005-11-01,1014100.6
2005-12-01,1014468.4
2006-01-01,1035775.2
2006-02-01,1033279.1
2006-03-01,1033554.1
2006-04-01,1034441.6
2006-05-01,1137859.9
2006-06-01,1138256.8
2006-07-01,1143017.2
2006-08-01,1147685.0
2006-09-01,1150997.2
2006-10-01,1151592.3
2006-11-01,1153745.4
2006-12-01,1155324.3
2007-01-01,1176109.1
2007-02-01,1179728.6
2007-03-01,1182850.2
2007-04-01,1187882.7
2007-05-01,1195421.5
2007-06-01,1209370.8
2007-07-01,1214536.3
2007-08-01,1218744.1
2007-09-01,1224527.6
2007-10-01,1231689.3
2007-11-01,1234366.4
2007-12-01,1238043.1
2008-01-01,1259900.1
2008-02-01,1266945.2
2008-03-01,1276192.3
2008-04-01,1288052.9
2008-05-01,1295837.5
2008-06-01,1301893.3
2008-07-01,1302855.6
2008-08-01,1313489.1
2008-09-01,1320196.8
2008-10-01,1322234.3
2008-11-01,1323449.2
2008-12-01,1325103.2
2009-01-01,1344373.9
2009-02-01,1351507.6
2009-03-01,1352853.3
2009-04-01,1358637.1
2009-05-01,1365248.7
2009-06-01,1368573.5
2009-07-01,1368573.5
