Tarih,TP_YIYDYULKE_CAM
2000-01-01,
2001-01-01,112.0
2002-01-01,122.0
2003-01-01,124.0
2004-01-01,134.0
2005-01-01,133.0
2006-01-01,136.0
2007-01-01,137.0
2008-01-01,672.0
2009-01-01,790.0
2010-01-01,824.0
2011-01-01,1087.0
2012-01-01,858.0
2013-01-01,901.0
2014-01-01,901.0
2015-01-01,708.0
2016-01-01,392.0
2017-01-01,438.0
2018-01-01,-615.0
2019-01-01,-232.0
2020-01-01,-342.0
2021-01-01,-319.0
2022-01-01,-215.0
2023-01-01,761.0
2024-01-01,1268.0
