Tarih,TP_YIYDYULKE_BE
2000-01-01,
2001-01-01,49.0
2002-01-01,52.0
2003-01-01,52.0
2004-01-01,52.0
2005-01-01,53.0
2006-01-01,56.0
2007-01-01,56.0
2008-01-01,219.0
2009-01-01,224.0
2010-01-01,208.0
2011-01-01,202.0
2012-01-01,206.0
2013-01-01,215.0
2014-01-01,193.0
2015-01-01,134.0
2016-01-01,209.0
2017-01-01,192.0
2018-01-01,191.0
2019-01-01,826.0
2020-01-01,875.0
2021-01-01,786.0
2022-01-01,657.0
2023-01-01,657.0
2024-01-01,749.0
