Tarih,TP_YIYDYULKE_GAM
2000-01-01,
2001-01-01,15.0
2002-01-01,15.0
2003-01-01,15.0
2004-01-01,15.0
2005-01-01,15.0
2006-01-01,15.0
2007-01-01,15.0
2008-01-01,68.0
2009-01-01,81.0
2010-01-01,83.0
2011-01-01,71.0
2012-01-01,111.0
2013-01-01,88.0
2014-01-01,108.0
2015-01-01,32.0
2016-01-01,67.0
2017-01-01,65.0
2018-01-01,66.0
2019-01-01,72.0
2020-01-01,33.0
2021-01-01,62.0
2022-01-01,57.0
2023-01-01,49.0
2024-01-01,30.0
