Tarih,TP_YIYDYULKE_GE
2000-01-01,
2001-01-01,34.0
2002-01-01,27.0
2003-01-01,27.0
2004-01-01,27.0
2005-01-01,27.0
2006-01-01,53.0
2007-01-01,65.0
2008-01-01,193.0
2009-01-01,240.0
2010-01-01,105.0
2011-01-01,344.0
2012-01-01,173.0
2013-01-01,184.0
2014-01-01,209.0
2015-01-01,275.0
2016-01-01,264.0
2017-01-01,314.0
2018-01-01,300.0
2019-01-01,213.0
2020-01-01,186.0
2021-01-01,29.0
2022-01-01,209.0
2023-01-01,196.0
2024-01-01,238.0
