Tarih,TP_YIYDYULKE_NAM
2000-01-01,
2001-01-01,140.0
2002-01-01,144.0
2003-01-01,128.0
2004-01-01,129.0
2005-01-01,135.0
2006-01-01,142.0
2007-01-01,146.0
2008-01-01,736.0
2009-01-01,858.0
2010-01-01,1035.0
2011-01-01,1598.0
2012-01-01,1302.0
2013-01-01,1491.0
2014-01-01,1836.0
2015-01-01,1229.0
2016-01-01,1631.0
2017-01-01,1836.0
2018-01-01,1787.0
2019-01-01,3198.0
2020-01-01,1558.0
2021-01-01,2274.0
2022-01-01,2688.0
2023-01-01,3341.0
2024-01-01,3333.0
