Tarih,TP_YIYDYULKE_NA
2000-01-01,
2001-01-01,78.0
2002-01-01,58.0
2003-01-01,42.0
2004-01-01,43.0
2005-01-01,51.0
2006-01-01,47.0
2007-01-01,73.0
2008-01-01,348.0
2009-01-01,428.0
2010-01-01,493.0
2011-01-01,489.0
2012-01-01,458.0
2013-01-01,481.0
2014-01-01,472.0
2015-01-01,499.0
2016-01-01,579.0
2017-01-01,666.0
2018-01-01,570.0
2019-01-01,568.0
2020-01-01,471.0
2021-01-01,530.0
2022-01-01,360.0
2023-01-01,450.0
2024-01-01,719.0
