Tarih,TP_YIYDYULKE_LY
2000-01-01,
2001-01-01,1.0
2002-01-01,13.0
2003-01-01,16.0
2004-01-01,20.0
2005-01-01,30.0
2006-01-01,33.0
2007-01-01,38.0
2008-01-01,47.0
2009-01-01,63.0
2010-01-01,175.0
2011-01-01,176.0
2012-01-01,7.0
2013-01-01,-23.0
2014-01-01,-8.0
2015-01-01,-4.0
2016-01-01,16.0
2017-01-01,-156.0
2018-01-01,-187.0
2019-01-01,-187.0
2020-01-01,-171.0
2021-01-01,-40.0
2022-01-01,-35.0
2023-01-01,-56.0
2024-01-01,-41.0
