Tarih,TP_YIYDYULKE_IR
2000-01-01,
2001-01-01,9.0
2002-01-01,9.0
2003-01-01,9.0
2004-01-01,13.0
2005-01-01,16.0
2006-01-01,16.0
2007-01-01,18.0
2008-01-01,8.0
2009-01-01,272.0
2010-01-01,251.0
2011-01-01,223.0
2012-01-01,196.0
2013-01-01,252.0
2014-01-01,305.0
2015-01-01,457.0
2016-01-01,291.0
2017-01-01,246.0
2018-01-01,363.0
2019-01-01,364.0
2020-01-01,471.0
2021-01-01,135.0
2022-01-01,313.0
2023-01-01,157.0
2024-01-01,102.0
