Tarih,TP_YIYDYULKE_IE
2000-01-01,
2001-01-01,32.0
2002-01-01,51.0
2003-01-01,52.0
2004-01-01,42.0
2005-01-01,43.0
2006-01-01,35.0
2007-01-01,51.0
2008-01-01,46.0
2009-01-01,278.0
2010-01-01,241.0
2011-01-01,732.0
2012-01-01,598.0
2013-01-01,609.0
2014-01-01,608.0
2015-01-01,599.0
2016-01-01,649.0
2017-01-01,660.0
2018-01-01,586.0
2019-01-01,543.0
2020-01-01,618.0
2021-01-01,583.0
2022-01-01,42.0
2023-01-01,47.0
2024-01-01,168.0
