Tarih,TP_YIYDYULKE_VG
2000-01-01,
2001-01-01,109.0
2002-01-01,118.0
2003-01-01,119.0
2004-01-01,119.0
2005-01-01,119.0
2006-01-01,123.0
2007-01-01,123.0
2008-01-01,628.0
2009-01-01,634.0
2010-01-01,651.0
2011-01-01,650.0
2012-01-01,585.0
2013-01-01,611.0
2014-01-01,610.0
2015-01-01,217.0
2016-01-01,93.0
2017-01-01,107.0
2018-01-01,80.0
2019-01-01,118.0
2020-01-01,23.0
2021-01-01,23.0
2022-01-01,22.0
2023-01-01,7.0
2024-01-01,23.0
