Tarih,TP_YIYDYULKE_IT
2000-01-01,
2001-01-01,2.0
2002-01-01,2.0
2003-01-01,2.0
2004-01-01,2.0
2005-01-01,107.0
2006-01-01,111.0
2007-01-01,111.0
2008-01-01,9.0
2009-01-01,10.0
2010-01-01,11.0
2011-01-01,10.0
2012-01-01,40.0
2013-01-01,55.0
2014-01-01,70.0
2015-01-01,91.0
2016-01-01,64.0
2017-01-01,119.0
2018-01-01,96.0
2019-01-01,75.0
2020-01-01,79.0
2021-01-01,74.0
2022-01-01,67.0
2023-01-01,115.0
2024-01-01,135.0
