Tarih,TP_YIYDYULKE_US
2000-01-01,
2001-01-01,139.0
2002-01-01,143.0
2003-01-01,127.0
2004-01-01,128.0
2005-01-01,135.0
2006-01-01,141.0
2007-01-01,145.0
2008-01-01,735.0
2009-01-01,857.0
2010-01-01,1033.0
2011-01-01,1599.0
2012-01-01,1301.0
2013-01-01,1464.0
2014-01-01,1812.0
2015-01-01,1221.0
2016-01-01,1625.0
2017-01-01,1828.0
2018-01-01,1773.0
2019-01-01,3185.0
2020-01-01,1557.0
2021-01-01,2272.0
2022-01-01,2684.0
2023-01-01,3269.0
2024-01-01,3256.0
