Tarih,TP_YIYDYULKE_AT
2000-01-01,
2001-01-01,23.0
2002-01-01,46.0
2003-01-01,56.0
2004-01-01,78.0
2005-01-01,85.0
2006-01-01,74.0
2007-01-01,104.0
2008-01-01,268.0
2009-01-01,301.0
2010-01-01,366.0
2011-01-01,546.0
2012-01-01,579.0
2013-01-01,898.0
2014-01-01,954.0
2015-01-01,1203.0
2016-01-01,1250.0
2017-01-01,1831.0
2018-01-01,1916.0
2019-01-01,2026.0
2020-01-01,2286.0
2021-01-01,2112.0
2022-01-01,1762.0
2023-01-01,1715.0
2024-01-01,1515.0
