Tarih,TP_YIYDYULKE_CH
2000-01-01,
2001-01-01,65.0
2002-01-01,64.0
2003-01-01,68.0
2004-01-01,71.0
2005-01-01,72.0
2006-01-01,68.0
2007-01-01,83.0
2008-01-01,264.0
2009-01-01,329.0
2010-01-01,368.0
2011-01-01,386.0
2012-01-01,391.0
2013-01-01,466.0
2014-01-01,445.0
2015-01-01,187.0
2016-01-01,150.0
2017-01-01,186.0
2018-01-01,191.0
2019-01-01,217.0
2020-01-01,229.0
2021-01-01,309.0
2022-01-01,473.0
2023-01-01,909.0
2024-01-01,939.0
