Tarih,TP_YIYDYULKE_GR
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,1.0
2004-01-01,1.0
2005-01-01,1.0
2006-01-01,2.0
2007-01-01,2.0
2008-01-01,25.0
2009-01-01,26.0
2010-01-01,23.0
2011-01-01,20.0
2012-01-01,33.0
2013-01-01,52.0
2014-01-01,50.0
2015-01-01,25.0
2016-01-01,15.0
2017-01-01,29.0
2018-01-01,26.0
2019-01-01,32.0
2020-01-01,47.0
2021-01-01,77.0
2022-01-01,59.0
2023-01-01,64.0
2024-01-01,65.0
