Tarih,TP_YIYDYULKE_UA
2000-01-01,
2001-01-01,7.0
2002-01-01,8.0
2003-01-01,10.0
2004-01-01,12.0
2005-01-01,23.0
2006-01-01,39.0
2007-01-01,52.0
2008-01-01,36.0
2009-01-01,21.0
2010-01-01,-12.0
2011-01-01,55.0
2012-01-01,77.0
2013-01-01,87.0
2014-01-01,78.0
2015-01-01,47.0
2016-01-01,87.0
2017-01-01,94.0
2018-01-01,107.0
2019-01-01,195.0
2020-01-01,163.0
2021-01-01,177.0
2022-01-01,131.0
2023-01-01,187.0
2024-01-01,36.0
