Tarih,TP_YIYDYULKE_GB
2000-01-01,
2001-01-01,482.0
2002-01-01,519.0
2003-01-01,531.0
2004-01-01,535.0
2005-01-01,584.0
2006-01-01,586.0
2007-01-01,463.0
2008-01-01,759.0
2009-01-01,226.0
2010-01-01,253.0
2011-01-01,282.0
2012-01-01,297.0
2013-01-01,405.0
2014-01-01,665.0
2015-01-01,190.0
2016-01-01,191.0
2017-01-01,2849.0
2018-01-01,4001.0
2019-01-01,3777.0
2020-01-01,4291.0
2021-01-01,4450.0
2022-01-01,4451.0
2023-01-01,4309.0
2024-01-01,3478.0
