Tarih,TP_YIYDYULKE_MEC
2000-01-01,
2001-01-01,649.0
2002-01-01,819.0
2003-01-01,886.0
2004-01-01,1470.0
2005-01-01,2288.0
2006-01-01,2477.0
2007-01-01,2917.0
2008-01-01,4041.0
2009-01-01,4442.0
2010-01-01,4380.0
2011-01-01,5104.0
2012-01-01,5782.0
2013-01-01,5846.0
2014-01-01,8271.0
2015-01-01,2941.0
2016-01-01,2102.0
2017-01-01,2467.0
2018-01-01,2721.0
2019-01-01,2025.0
2020-01-01,2160.0
2021-01-01,1928.0
2022-01-01,1516.0
2023-01-01,1850.0
2024-01-01,2090.0
