Tarih,TP_YIYDYULKE_FR
2000-01-01,
2001-01-01,100.0
2002-01-01,99.0
2003-01-01,101.0
2004-01-01,102.0
2005-01-01,102.0
2006-01-01,104.0
2007-01-01,84.0
2008-01-01,121.0
2009-01-01,136.0
2010-01-01,138.0
2011-01-01,28.0
2012-01-01,19.0
2013-01-01,113.0
2014-01-01,106.0
2015-01-01,43.0
2016-01-01,48.0
2017-01-01,55.0
2018-01-01,66.0
2019-01-01,160.0
2020-01-01,64.0
2021-01-01,83.0
2022-01-01,136.0
2023-01-01,92.0
2024-01-01,101.0
