Tarih,TP_YIYDYULKE_OEU
2000-01-01,
2001-01-01,251.0
2002-01-01,220.0
2003-01-01,234.0
2004-01-01,249.0
2005-01-01,306.0
2006-01-01,307.0
2007-01-01,481.0
2008-01-01,1044.0
2009-01-01,1129.0
2010-01-01,1307.0
2011-01-01,1318.0
2012-01-01,1478.0
2013-01-01,1761.0
2014-01-01,1554.0
2015-01-01,3306.0
2016-01-01,3962.0
2017-01-01,4639.0
2018-01-01,3452.0
2019-01-01,3355.0
2020-01-01,3002.0
2021-01-01,3713.0
2022-01-01,6846.0
2023-01-01,6783.0
2024-01-01,9178.0
