Tarih,TP_YIYDYULKE_AL
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,2.0
2006-01-01,2.0
2007-01-01,53.0
2008-01-01,162.0
2009-01-01,136.0
2010-01-01,148.0
2011-01-01,17.0
2012-01-01,4.0
2013-01-01,37.0
2014-01-01,37.0
2015-01-01,51.0
2016-01-01,492.0
2017-01-01,610.0
2018-01-01,615.0
2019-01-01,752.0
2020-01-01,602.0
2021-01-01,593.0
2022-01-01,642.0
2023-01-01,857.0
2024-01-01,960.0
