Tarih,TP_YIYDYULKE_NAFR
2000-01-01,
2001-01-01,11.0
2002-01-01,49.0
2003-01-01,53.0
2004-01-01,58.0
2005-01-01,71.0
2006-01-01,78.0
2007-01-01,151.0
2008-01-01,335.0
2009-01-01,334.0
2010-01-01,473.0
2011-01-01,469.0
2012-01-01,324.0
2013-01-01,494.0
2014-01-01,507.0
2015-01-01,122.0
2016-01-01,656.0
2017-01-01,778.0
2018-01-01,708.0
2019-01-01,952.0
2020-01-01,974.0
2021-01-01,1227.0
2022-01-01,1598.0
2023-01-01,2168.0
2024-01-01,2109.0
