Tarih,TP_YIYDYULKE_AFR
2000-01-01,
2001-01-01,22.0
2002-01-01,60.0
2003-01-01,67.0
2004-01-01,72.0
2005-01-01,86.0
2006-01-01,90.0
2007-01-01,171.0
2008-01-01,381.0
2009-01-01,362.0
2010-01-01,530.0
2011-01-01,504.0
2012-01-01,412.0
2013-01-01,589.0
2014-01-01,581.0
2015-01-01,235.0
2016-01-01,631.0
2017-01-01,778.0
2018-01-01,784.0
2019-01-01,1169.0
2020-01-01,1295.0
2021-01-01,1307.0
2022-01-01,1674.0
2023-01-01,2264.0
2024-01-01,2285.0
