Tarih,TP_YIYDYULKE_BA
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,17.0
2004-01-01,24.0
2005-01-01,31.0
2006-01-01,34.0
2007-01-01,44.0
2008-01-01,89.0
2009-01-01,181.0
2010-01-01,240.0
2011-01-01,257.0
2012-01-01,252.0
2013-01-01,343.0
2014-01-01,277.0
2015-01-01,193.0
2016-01-01,197.0
2017-01-01,226.0
2018-01-01,237.0
2019-01-01,252.0
2020-01-01,250.0
2021-01-01,296.0
2022-01-01,299.0
2023-01-01,314.0
2024-01-01,291.0
