Tarih,TP_YIYDYULKE_AZ
2000-01-01,
2001-01-01,569.0
2002-01-01,741.0
2003-01-01,804.0
2004-01-01,1387.0
2005-01-01,2202.0
2006-01-01,2364.0
2007-01-01,2773.0
2008-01-01,3851.0
2009-01-01,3913.0
2010-01-01,4506.0
2011-01-01,4752.0
2012-01-01,5050.0
2013-01-01,5228.0
2014-01-01,7309.0
2015-01-01,1320.0
2016-01-01,788.0
2017-01-01,400.0
2018-01-01,420.0
2019-01-01,325.0
2020-01-01,229.0
2021-01-01,357.0
2022-01-01,461.0
2023-01-01,433.0
2024-01-01,393.0
