Tarih,TP_YIYDYULKE_EG
2000-01-01,
2001-01-01,5.0
2002-01-01,5.0
2003-01-01,5.0
2004-01-01,5.0
2005-01-01,7.0
2006-01-01,9.0
2007-01-01,38.0
2008-01-01,54.0
2009-01-01,94.0
2010-01-01,100.0
2011-01-01,112.0
2012-01-01,147.0
2013-01-01,202.0
2014-01-01,195.0
2015-01-01,108.0
2016-01-01,-4.0
2017-01-01,-8.0
2018-01-01,167.0
2019-01-01,189.0
2020-01-01,244.0
2021-01-01,294.0
2022-01-01,155.0
2023-01-01,254.0
2024-01-01,233.0
