Tarih,TP_YIYDYULKE_RU
2000-01-01,
2001-01-01,166.0
2002-01-01,154.0
2003-01-01,150.0
2004-01-01,154.0
2005-01-01,184.0
2006-01-01,180.0
2007-01-01,244.0
2008-01-01,208.0
2009-01-01,303.0
2010-01-01,362.0
2011-01-01,558.0
2012-01-01,470.0
2013-01-01,419.0
2014-01-01,306.0
2015-01-01,420.0
2016-01-01,272.0
2017-01-01,233.0
2018-01-01,575.0
2019-01-01,771.0
2020-01-01,817.0
2021-01-01,1094.0
2022-01-01,1566.0
2023-01-01,1741.0
2024-01-01,1623.0
