Tarih,TP_YIYDYULKE_RO
2000-01-01,
2001-01-01,82.0
2002-01-01,125.0
2003-01-01,120.0
2004-01-01,133.0
2005-01-01,159.0
2006-01-01,162.0
2007-01-01,185.0
2008-01-01,263.0
2009-01-01,253.0
2010-01-01,277.0
2011-01-01,244.0
2012-01-01,114.0
2013-01-01,198.0
2014-01-01,189.0
2015-01-01,57.0
2016-01-01,152.0
2017-01-01,203.0
2018-01-01,219.0
2019-01-01,215.0
2020-01-01,165.0
2021-01-01,228.0
2022-01-01,305.0
2023-01-01,340.0
2024-01-01,353.0
