Tarih,TP_YIYDYULKE_ASI
2000-01-01,
2001-01-01,1161.0
2002-01-01,1342.0
2003-01-01,1412.0
2004-01-01,2008.0
2005-01-01,2853.0
2006-01-01,3076.0
2007-01-01,3699.0
2008-01-01,4778.0
2009-01-01,5408.0
2010-01-01,5355.0
2011-01-01,6355.0
2012-01-01,7286.0
2013-01-01,7024.0
2014-01-01,9564.0
2015-01-01,4133.0
2016-01-01,3603.0
2017-01-01,3850.0
2018-01-01,4064.0
2019-01-01,3861.0
2020-01-01,3655.0
2021-01-01,4041.0
2022-01-01,3784.0
2023-01-01,5110.0
2024-01-01,5440.0
