Tarih,TP_ODANA6_Q05
2000-01-01,1064.0
2000-02-01,1071.0
2000-03-01,1132.0
2000-04-01,1259.0
2000-05-01,1787.0
2000-06-01,1846.0
2000-07-01,2176.0
2000-08-01,2242.0
2000-09-01,2064.0
2000-10-01,1990.0
2000-11-01,1429.0
2000-12-01,1305.0
2001-01-01,1159.0
2001-02-01,1136.0
2001-03-01,859.0
2001-04-01,1144.0
2001-05-01,1425.0
2001-06-01,1510.0
2001-07-01,1728.0
2001-08-01,1810.0
2001-09-01,1573.0
2001-10-01,1244.0
2001-11-01,856.0
2001-12-01,678.0
2002-01-01,611.0
2002-02-01,655.0
2002-03-01,777.0
2002-04-01,893.0
2002-05-01,1211.0
2002-06-01,1306.0
2002-07-01,1603.0
2002-08-01,1915.0
2002-09-01,1732.0
2002-10-01,1467.0
2002-11-01,994.0
2002-12-01,881.0
2003-01-01,723.0
2003-02-01,734.0
2003-03-01,767.0
2003-04-01,788.0
2003-05-01,1155.0
2003-06-01,1396.0
2003-07-01,2222.0
2003-08-01,3340.0
2003-09-01,2786.0
2003-10-01,1929.0
2003-11-01,1145.0
2003-12-01,984.0
2004-01-01,1034.0
2004-02-01,855.0
2004-03-01,1081.0
2004-04-01,1343.0
2004-05-01,1694.0
2004-06-01,1873.0
2004-07-01,2727.0
2004-08-01,3650.0
2004-09-01,3301.0
2004-10-01,2363.0
2004-11-01,1466.0
2004-12-01,1679.0
2005-01-01,1271.0
2005-02-01,1141.0
2005-03-01,1485.0
2005-04-01,1580.0
2005-05-01,2207.0
2005-06-01,2309.0
2005-07-01,3607.0
2005-08-01,4491.0
2005-09-01,3699.0
2005-10-01,2868.0
2005-11-01,1690.0
2005-12-01,1466.0
2006-01-01,1290.0
2006-02-01,1027.0
2006-03-01,1309.0
2006-04-01,1589.0
2006-05-01,2082.0
2006-06-01,2403.0
2006-07-01,3354.0
2006-08-01,4177.0
2006-09-01,3448.0
2006-10-01,2203.0
2006-11-01,1554.0
2006-12-01,1600.0
2007-01-01,1337.0
2007-02-01,1254.0
2007-03-01,1563.0
2007-04-01,1722.0
2007-05-01,2301.0
2007-06-01,2592.0
2007-07-01,3792.0
2007-08-01,4685.0
2007-09-01,3892.0
2007-10-01,2908.0
2007-11-01,2045.0
2007-12-01,1818.0
2008-01-01,1785.0
2008-02-01,1681.0
2008-03-01,2099.0
2008-04-01,2147.0
2008-05-01,3087.0
2008-06-01,3461.0
2008-07-01,4757.0
2008-08-01,5752.0
2008-09-01,4469.0
2008-10-01,3580.0
2008-11-01,2246.0
2008-12-01,1876.0
2009-01-01,1645.0
2009-02-01,1508.0
2009-03-01,1913.0
2009-04-01,1998.0
2009-05-01,2623.0
2009-06-01,2987.0
2009-07-01,4446.0
2009-08-01,5332.0
2009-09-01,4206.0
2009-10-01,3921.0
2009-11-01,2494.0
2009-12-01,2554.0
2010-01-01,1601.0
2010-02-01,1558.0
2010-03-01,1992.0
2010-04-01,2152.0
2010-05-01,2946.0
2010-06-01,3361.0
2010-07-01,4321.0
2010-08-01,4787.0
2010-09-01,4100.0
2010-10-01,4253.0
2010-11-01,2739.0
2010-12-01,2378.0
2011-01-01,1941.0
2011-02-01,2008.0
2011-03-01,2512.0
2011-04-01,2699.0
2011-05-01,3394.0
2011-06-01,3823.0
2011-07-01,5005.0
2011-08-01,5044.0
2011-09-01,4754.0
2011-10-01,4424.0
2011-11-01,2879.0
2011-12-01,2365.0
2012-01-01,2108.0
2012-02-01,2021.0
2012-03-01,2428.0
2012-04-01,3069.0
2012-05-01,4127.0
2012-06-01,4457.0
2012-07-01,6305.0
2012-08-01,6857.0
2012-09-01,6454.0
2012-10-01,5305.0
2012-11-01,3393.0
2012-12-01,2824.0
2013-01-01,3091.0
2013-02-01,3044.0
2013-03-01,4187.0
2013-04-01,4572.0
2013-05-01,5905.0
2013-06-01,6473.0
2013-07-01,7313.0
2013-08-01,8252.0
2013-09-01,7952.0
2013-10-01,6506.0
2013-11-01,4415.0
2013-12-01,4271.0
2014-01-01,3617.0
2014-02-01,3467.0
2014-03-01,4274.0
2014-04-01,4679.0
2014-05-01,5883.0
2014-06-01,6632.0
2014-07-01,7469.0
2014-08-01,9415.0
2014-09-01,8297.0
2014-10-01,6544.0
2014-11-01,4355.0
2014-12-01,4679.0
2015-01-01,3682.0
2015-02-01,3356.0
2015-03-01,4043.0
2015-04-01,4050.0
2015-05-01,5049.0
2015-06-01,5719.0
2015-07-01,6956.0
2015-08-01,8639.0
2015-09-01,7261.0
2015-10-01,5555.0
2015-11-01,3820.0
2015-12-01,3892.0
2016-01-01,3042.0
2016-02-01,2894.0
2016-03-01,3511.0
2016-04-01,3374.0
2016-05-01,4048.0
2016-06-01,4186.0
2016-07-01,5171.0
2016-08-01,6579.0
2016-09-01,6127.0
2016-10-01,4772.0
2016-11-01,3586.0
2016-12-01,4092.0
2017-01-01,2831.0
2017-02-01,2950.0
2017-03-01,3412.0
2017-04-01,3514.0
2017-05-01,4440.0
2017-06-01,4590.0
2017-07-01,6661.0
2017-08-01,8252.0
2017-09-01,7441.0
2017-10-01,5886.0
2017-11-01,4476.0
2017-12-01,4665.0
2018-01-01,3188.0
2018-02-01,3131.0
2018-03-01,3893.0
2018-04-01,4122.0
2018-05-01,5022.0
2018-06-01,5589.0
2018-07-01,7266.0
2018-08-01,8796.0
2018-09-01,8330.0
2018-10-01,6417.0
2018-11-01,4767.0
2018-12-01,4949.0
2019-01-01,3704.0
2019-02-01,3309.0
2019-03-01,4066.0
2019-04-01,4629.0
2019-05-01,5394.0
2019-06-01,6245.0
2019-07-01,8723.0
2019-08-01,9801.0
2019-09-01,8521.0
2019-10-01,7291.0
2019-11-01,4832.0
2019-12-01,5150.0
2020-01-01,4606.0
2020-02-01,4202.0
2020-03-01,2918.0
2020-04-01,1329.0
2020-05-01,1310.0
2020-06-01,2524.0
2020-07-01,2475.0
2020-08-01,3943.0
2020-09-01,4633.0
2020-10-01,4242.0
2020-11-01,3299.0
2020-12-01,3775.0
2021-01-01,2790.0
2021-02-01,2797.0
2021-03-01,3594.0
2021-04-01,3547.0
2021-05-01,3253.0
2021-06-01,4391.0
2021-07-01,6813.0
2021-08-01,8934.0
2021-09-01,8045.0
2021-10-01,7307.0
2021-11-01,5405.0
2021-12-01,5987.0
2022-01-01,5037.0
2022-02-01,4418.0
2022-03-01,5649.0
2022-04-01,5805.0
2022-05-01,7033.0
2022-06-01,8446.0
2022-07-01,10209.0
2022-08-01,12092.0
2022-09-01,10609.0
2022-10-01,9526.0
2022-11-01,6993.0
2022-12-01,7433.0
2023-01-01,7037.0
2023-02-01,5626.0
2023-03-01,6839.0
2023-04-01,7248.0
2023-05-01,8432.0
2023-06-01,9965.0
2023-07-01,11045.0
2023-08-01,12408.0
2023-09-01,11458.0
2023-10-01,10094.0
2023-11-01,7284.0
2023-12-01,8098.0
2024-01-01,7178.0
2024-02-01,6535.0
2024-03-01,7771.0
2024-04-01,8026.0
2024-05-01,9817.0
2024-06-01,10686.0
2024-07-01,12426.0
2024-08-01,13658.0
2024-09-01,11954.0
2024-10-01,11469.0
2024-11-01,8548.0
2024-12-01,9121.0
2025-01-01,7645.0
2025-02-01,6567.0
2025-03-01,7436.0
2025-04-01,8757.0
2025-05-01,10162.0
2025-06-01,11350.0
2025-07-01,12783.0
2025-08-01,14121.0
