Tarih,TP_ODANA6_Q08
2000-01-01,148.0
2000-02-01,193.0
2000-03-01,381.0
2000-04-01,148.0
2000-05-01,160.0
2000-06-01,190.0
2000-07-01,249.0
2000-08-01,226.0
2000-09-01,264.0
2000-10-01,238.0
2000-11-01,334.0
2000-12-01,305.0
2001-01-01,251.0
2001-02-01,301.0
2001-03-01,297.0
2001-04-01,257.0
2001-05-01,243.0
2001-06-01,195.0
2001-07-01,219.0
2001-08-01,213.0
2001-09-01,138.0
2001-10-01,216.0
2001-11-01,196.0
2001-12-01,227.0
2002-01-01,224.0
2002-02-01,211.0
2002-03-01,175.0
2002-04-01,136.0
2002-05-01,184.0
2002-06-01,354.0
2002-07-01,243.0
2002-08-01,160.0
2002-09-01,110.0
2002-10-01,228.0
2002-11-01,201.0
2002-12-01,260.0
2003-01-01,179.0
2003-02-01,163.0
2003-03-01,258.0
2003-04-01,169.0
2003-05-01,211.0
2003-06-01,231.0
2003-07-01,213.0
2003-08-01,148.0
2003-09-01,171.0
2003-10-01,145.0
2003-11-01,113.0
2003-12-01,245.0
2004-01-01,271.0
2004-02-01,229.0
2004-03-01,268.0
2004-04-01,147.0
2004-05-01,183.0
2004-06-01,181.0
2004-07-01,234.0
2004-08-01,197.0
2004-09-01,223.0
2004-10-01,181.0
2004-11-01,218.0
2004-12-01,319.0
2005-01-01,450.0
2005-02-01,456.0
2005-03-01,254.0
2005-04-01,186.0
2005-05-01,319.0
2005-06-01,349.0
2005-07-01,385.0
2005-08-01,351.0
2005-09-01,429.0
2005-10-01,339.0
2005-11-01,294.0
2005-12-01,313.0
2006-01-01,423.0
2006-02-01,347.0
2006-03-01,276.0
2006-04-01,318.0
2006-05-01,301.0
2006-06-01,328.0
2006-07-01,467.0
2006-08-01,353.0
2006-09-01,299.0
2006-10-01,390.0
2006-11-01,428.0
2006-12-01,312.0
2007-01-01,614.0
2007-02-01,487.0
2007-03-01,416.0
2007-04-01,465.0
2007-05-01,479.0
2007-06-01,433.0
2007-07-01,591.0
2007-08-01,502.0
2007-09-01,403.0
2007-10-01,628.0
2007-11-01,545.0
2007-12-01,523.0
2008-01-01,914.0
2008-02-01,477.0
2008-03-01,509.0
2008-04-01,593.0
2008-05-01,425.0
2008-06-01,474.0
2008-07-01,590.0
2008-08-01,351.0
2008-09-01,484.0
2008-10-01,594.0
2008-11-01,572.0
2008-12-01,450.0
2009-01-01,455.0
2009-02-01,314.0
2009-03-01,618.0
2009-04-01,309.0
2009-05-01,381.0
2009-06-01,455.0
2009-07-01,412.0
2009-08-01,292.0
2009-09-01,286.0
2009-10-01,326.0
2009-11-01,264.0
2009-12-01,281.0
2010-01-01,261.0
2010-02-01,812.0
2010-03-01,235.0
2010-04-01,222.0
2010-05-01,231.0
2010-06-01,255.0
2010-07-01,247.0
2010-08-01,265.0
2010-09-01,224.0
2010-10-01,238.0
2010-11-01,255.0
2010-12-01,283.0
2011-01-01,233.0
2011-02-01,334.0
2011-03-01,257.0
2011-04-01,225.0
2011-05-01,264.0
2011-06-01,277.0
2011-07-01,230.0
2011-08-01,221.0
2011-09-01,282.0
2011-10-01,218.0
2011-11-01,226.0
2011-12-01,287.0
2012-01-01,236.0
2012-02-01,300.0
2012-03-01,336.0
2012-04-01,239.0
2012-05-01,299.0
2012-06-01,385.0
2012-07-01,280.0
2012-08-01,249.0
2012-09-01,271.0
2012-10-01,233.0
2012-11-01,321.0
2012-12-01,645.0
2013-01-01,277.0
2013-02-01,273.0
2013-03-01,371.0
2013-04-01,252.0
2013-05-01,298.0
2013-06-01,342.0
2013-07-01,271.0
2013-08-01,279.0
2013-09-01,328.0
2013-10-01,280.0
2013-11-01,287.0
2013-12-01,542.0
2014-01-01,266.0
2014-02-01,304.0
2014-03-01,361.0
2014-04-01,246.0
2014-05-01,258.0
2014-06-01,335.0
2014-07-01,263.0
2014-08-01,242.0
2014-09-01,284.0
