Tarih,TP_SGEGI_K3
2021-10-01,4406796.0
2021-11-01,2466682.0
2021-12-01,2176634.0
2022-01-01,2158066.0
2022-02-01,1851394.0
2022-03-01,2442196.0
2022-04-01,2921440.0
2022-05-01,4078425.0
2022-06-01,4939265.0
2022-07-01,6359123.0
2022-08-01,7992422.0
2022-09-01,6648582.0
2022-10-01,5919814.0
2022-11-01,3438085.0
2022-12-01,2620212.0
2023-01-01,3077654.0
2023-02-01,2314917.0
2023-03-01,2788995.0
2023-04-01,3541271.0
2023-05-01,4584458.0
2023-06-01,5869766.0
2023-07-01,6926346.0
2023-08-01,8488026.0
2023-09-01,7013861.0
2023-10-01,6151397.0
2023-11-01,3520467.0
2023-12-01,2800281.0
2024-01-01,3245893.0
2024-02-01,2684623.0
2024-03-01,3079574.0
2024-04-01,4040974.0
2024-05-01,5585634.0
2024-06-01,6471276.0
2024-07-01,7395701.0
2024-08-01,8661295.0
2024-09-01,7149583.0
2024-10-01,6723819.0
2024-11-01,4018247.0
2024-12-01,3175828.0
2025-01-01,3355818.0
2025-02-01,2782758.0
2025-03-01,2982576.0
2025-04-01,4242307.0
2025-05-01,5618724.0
2025-06-01,6551137.0
