Tarih,TP_SGEGI_K4
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,708.0
2003-02-01,731.0
2003-03-01,689.0
2003-04-01,707.0
2003-05-01,712.0
2003-06-01,720.0
2003-07-01,912.0
2003-08-01,946.0
2003-09-01,949.0
2003-10-01,708.0
2003-11-01,715.0
2003-12-01,694.0
2004-01-01,785.0
2004-02-01,758.0
2004-03-01,725.0
2004-04-01,707.0
2004-05-01,704.0
2004-06-01,707.0
2004-07-01,875.0
2004-08-01,902.0
2004-09-01,900.0
2004-10-01,773.0
2004-11-01,757.0
2004-12-01,737.0
2005-01-01,735.0
2005-02-01,724.0
2005-03-01,698.0
2005-04-01,670.0
2005-05-01,681.0
2005-06-01,677.0
2005-07-01,895.0
2005-08-01,908.0
2005-09-01,907.0
2005-10-01,768.0
2005-11-01,745.0
2005-12-01,748.0
2006-01-01,764.0
2006-02-01,743.0
2006-03-01,731.0
2006-04-01,700.0
2006-05-01,695.0
2006-06-01,695.0
2006-07-01,814.0
2006-08-01,820.0
2006-09-01,831.0
2006-10-01,680.0
2006-11-01,679.0
2006-12-01,692.0
2007-01-01,715.0
2007-02-01,695.0
2007-03-01,684.0
2007-04-01,616.0
2007-05-01,609.0
2007-06-01,610.0
2007-07-01,769.0
2007-08-01,768.0
2007-09-01,782.0
2007-10-01,710.0
2007-11-01,736.0
2007-12-01,716.0
2008-01-01,782.0
2008-02-01,770.0
2008-03-01,762.0
2008-04-01,672.0
2008-05-01,663.0
2008-06-01,667.0
2008-07-01,786.0
2008-08-01,800.0
2008-09-01,799.0
2008-10-01,764.0
2008-11-01,763.0
2008-12-01,758.0
2009-01-01,722.0
2009-02-01,711.0
2009-03-01,691.0
2009-04-01,609.0
2009-05-01,599.0
2009-06-01,603.0
2009-07-01,740.0
2009-08-01,743.0
2009-09-01,754.0
2009-10-01,785.0
2009-11-01,810.0
2009-12-01,817.0
2010-01-01,684.0
2010-02-01,687.0
2010-03-01,669.0
2010-04-01,602.0
2010-05-01,596.0
2010-06-01,596.0
2010-07-01,667.0
2010-08-01,672.0
2010-09-01,669.0
2010-10-01,818.0
2010-11-01,819.0
2010-12-01,813.0
2011-01-01,734.0
2011-02-01,755.0
2011-03-01,734.0
2011-04-01,629.0
2011-05-01,633.0
2011-06-01,635.0
2011-07-01,679.0
2011-08-01,678.0
2011-09-01,677.0
2011-10-01,773.0
2011-11-01,762.0
2011-12-01,777.0
2012-01-01,742.0
2012-02-01,762.0
2012-03-01,722.0
2012-04-01,747.0
2012-05-01,743.0
2012-06-01,751.0
2012-07-01,924.0
2012-08-01,922.0
2012-09-01,928.0
2012-10-01,951.0
2012-11-01,935.0
2012-12-01,963.0
2013-01-01,887.0
2013-02-01,887.0
2013-03-01,868.0
2013-04-01,809.0
2013-05-01,829.0
2013-06-01,845.0
2013-07-01,941.0
2013-08-01,929.0
2013-09-01,945.0
2013-10-01,898.0
2013-11-01,897.0
2013-12-01,914.0
2014-01-01,866.0
2014-02-01,863.0
2014-03-01,856.0
2014-04-01,797.0
