Tarih,TP_SEKBILB01A_A
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,51.2
2010-01-01,52.3
2011-01-01,57.6
2012-01-01,58.7
2013-01-01,62.1
2014-01-01,63.8
2015-01-01,65.0
2016-01-01,64.0
2017-01-01,64.1
2018-01-01,65.9
2019-01-01,65.9
2020-01-01,67.1
2021-01-01,66.8
2022-01-01,69.0
2023-01-01,67.2
