Tarih,TP_KISAVADEBORC_14
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,14081.0
2002-04-01,
2002-05-01,
2002-06-01,15249.0
2002-07-01,
2002-08-01,
2002-09-01,14460.0
2002-10-01,
2002-11-01,
2002-12-01,16109.0
2003-01-01,
2003-02-01,
2003-03-01,16989.0
2003-04-01,
2003-05-01,
2003-06-01,17982.0
2003-07-01,
2003-08-01,
2003-09-01,21077.0
2003-10-01,
2003-11-01,
2003-12-01,23089.0
2004-01-01,
2004-02-01,
2004-03-01,24607.0
2004-04-01,
2004-05-01,
2004-06-01,27955.0
2004-07-01,
2004-08-01,
2004-09-01,30270.0
2004-10-01,
2004-11-01,
2004-12-01,31470.0
2005-01-01,31970.0
2005-02-01,32188.0
2005-03-01,32135.0
2005-04-01,34049.0
2005-05-01,35233.0
2005-06-01,35545.0
2005-07-01,36363.0
2005-08-01,38201.0
2005-09-01,38612.0
2005-10-01,38825.0
2005-11-01,37527.0
2005-12-01,38556.0
2006-01-01,38577.0
2006-02-01,42567.0
2006-03-01,41405.0
2006-04-01,44726.0
2006-05-01,44304.0
2006-06-01,45595.0
2006-07-01,46166.0
2006-08-01,43825.0
2006-09-01,44574.0
2006-10-01,43901.0
2006-11-01,44442.0
2006-12-01,44923.0
2007-01-01,39255.0
2007-02-01,38148.0
2007-03-01,37803.0
2007-04-01,38388.0
2007-05-01,40169.0
2007-06-01,42469.0
2007-07-01,41385.0
2007-08-01,41608.0
2007-09-01,42458.0
2007-10-01,42326.0
2007-11-01,44453.0
2007-12-01,47234.0
2008-01-01,46753.0
2008-02-01,47984.0
2008-03-01,49154.0
2008-04-01,52184.0
2008-05-01,54904.0
2008-06-01,57734.0
2008-07-01,62626.0
2008-08-01,60398.0
2008-09-01,60825.0
2008-10-01,56653.0
2008-11-01,51391.0
2008-12-01,51136.0
2009-01-01,46563.0
2009-02-01,42950.0
2009-03-01,45853.0
2009-04-01,47258.0
2009-05-01,48024.0
2009-06-01,47840.0
2009-07-01,48937.0
2009-08-01,48570.0
2009-09-01,48282.0
2009-10-01,47040.0
2009-11-01,48068.0
2009-12-01,50644.0
2010-01-01,48472.0
2010-02-01,48879.0
2010-03-01,53754.0
2010-04-01,57223.0
2010-05-01,59636.0
2010-06-01,63256.0
2010-07-01,63840.0
2010-08-01,64799.0
2010-09-01,70343.0
2010-10-01,74024.0
2010-11-01,76015.0
2010-12-01,87105.0
2011-01-01,86316.0
2011-02-01,82528.0
2011-03-01,83576.0
2011-04-01,87303.0
2011-05-01,93498.0
2011-06-01,93945.0
2011-07-01,94975.0
2011-08-01,92853.0
2011-09-01,92076.0
2011-10-01,92076.0
2011-11-01,93734.0
2011-12-01,87064.0
2012-01-01,90600.0
2012-02-01,89433.0
2012-03-01,87509.0
2012-04-01,95482.0
2012-05-01,95919.0
2012-06-01,94130.0
2012-07-01,95790.0
2012-08-01,100228.0
2012-09-01,97506.0
2012-10-01,99448.0
2012-11-01,101583.0
2012-12-01,100261.0
2013-01-01,106302.0
2013-02-01,106685.0
2013-03-01,109581.0
2013-04-01,114551.0
2013-05-01,114618.0
2013-06-01,117190.0
2013-07-01,117953.0
2013-08-01,119157.0
2013-09-01,118514.0
