Tarih,TP_KISAVADEBORC_13
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,955.0
2002-04-01,
2002-05-01,
2002-06-01,1197.0
2002-07-01,
2002-08-01,
2002-09-01,1500.0
2002-10-01,
2002-11-01,
2002-12-01,1655.0
2003-01-01,
2003-02-01,
2003-03-01,1772.0
2003-04-01,
2003-05-01,
2003-06-01,2010.0
2003-07-01,
2003-08-01,
2003-09-01,2504.0
2003-10-01,
2003-11-01,
2003-12-01,2860.0
2004-01-01,
2004-02-01,
2004-03-01,2883.0
2004-04-01,
2004-05-01,
2004-06-01,2902.0
2004-07-01,
2004-08-01,
2004-09-01,3014.0
2004-10-01,
2004-11-01,
2004-12-01,3287.0
2005-01-01,3149.0
2005-02-01,3173.0
2005-03-01,3110.0
2005-04-01,3092.0
2005-05-01,2978.0
2005-06-01,2875.0
2005-07-01,2879.0
2005-08-01,2924.0
2005-09-01,2855.0
2005-10-01,2856.0
2005-11-01,2773.0
2005-12-01,2763.0
2006-01-01,2799.0
2006-02-01,2735.0
2006-03-01,2753.0
2006-04-01,2802.0
2006-05-01,2762.0
2006-06-01,2774.0
2006-07-01,2753.0
2006-08-01,2686.0
2006-09-01,2597.0
2006-10-01,2558.0
2006-11-01,2597.0
2006-12-01,2563.0
2007-01-01,2496.0
2007-02-01,2506.0
2007-03-01,2495.0
2007-04-01,2516.0
2007-05-01,2455.0
2007-06-01,2429.0
2007-07-01,2417.0
2007-08-01,2306.0
2007-09-01,2331.0
2007-10-01,2316.0
2007-11-01,2331.0
2007-12-01,2282.0
2008-01-01,2263.0
2008-02-01,2287.0
2008-03-01,2357.0
2008-04-01,2299.0
2008-05-01,2272.0
2008-06-01,2273.0
2008-07-01,2210.0
2008-08-01,2044.0
2008-09-01,1980.0
2008-10-01,1759.0
2008-11-01,1719.0
2008-12-01,1874.0
2009-01-01,1729.0
2009-02-01,1680.0
2009-03-01,1721.0
2009-04-01,1718.0
2009-05-01,1788.0
2009-06-01,1798.0
2009-07-01,1784.0
2009-08-01,1793.0
2009-09-01,1807.0
2009-10-01,1834.0
2009-11-01,1849.0
2009-12-01,1764.0
2010-01-01,1722.0
2010-02-01,1659.0
2010-03-01,1654.0
2010-04-01,1619.0
2010-05-01,1520.0
2010-06-01,1494.0
2010-07-01,1579.0
2010-08-01,1526.0
2010-09-01,1613.0
2010-10-01,1622.0
2010-11-01,1549.0
2010-12-01,1553.0
2011-01-01,1595.0
2011-02-01,1598.0
2011-03-01,1613.0
2011-04-01,1684.0
2011-05-01,1605.0
2011-06-01,1596.0
2011-07-01,1556.0
2011-08-01,1516.0
2011-09-01,1379.0
2011-10-01,1382.0
2011-11-01,1298.0
2011-12-01,1239.0
2012-01-01,1251.0
2012-02-01,1266.0
2012-03-01,1243.0
2012-04-01,1226.0
2012-05-01,1143.0
2012-06-01,1127.0
2012-07-01,1083.0
2012-08-01,1074.0
2012-09-01,1071.0
2012-10-01,1053.0
2012-11-01,1034.0
2012-12-01,1036.0
2013-01-01,1057.0
2013-02-01,1011.0
2013-03-01,980.0
2013-04-01,990.0
2013-05-01,971.0
2013-06-01,963.0
2013-07-01,966.0
2013-08-01,933.0
2013-09-01,905.0
