Tarih,TP_KISAVADEBORC_17
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,0.0
2002-04-01,
2002-05-01,
2002-06-01,0.0
2002-07-01,
2002-08-01,
2002-09-01,0.0
2002-10-01,
2002-11-01,
2002-12-01,0.0
2003-01-01,
2003-02-01,
2003-03-01,0.0
2003-04-01,
2003-05-01,
2003-06-01,0.0
2003-07-01,
2003-08-01,
2003-09-01,0.0
2003-10-01,
2003-11-01,
2003-12-01,0.0
2004-01-01,
2004-02-01,
2004-03-01,124.0
2004-04-01,
2004-05-01,
2004-06-01,245.0
2004-07-01,
2004-08-01,
2004-09-01,385.0
2004-10-01,
2004-11-01,
2004-12-01,458.0
2005-01-01,590.0
2005-02-01,792.0
2005-03-01,434.0
2005-04-01,530.0
2005-05-01,685.0
2005-06-01,760.0
2005-07-01,822.0
2005-08-01,931.0
2005-09-01,1245.0
2005-10-01,1265.0
2005-11-01,635.0
2005-12-01,694.0
2006-01-01,681.0
2006-02-01,652.0
2006-03-01,689.0
2006-04-01,759.0
2006-05-01,706.0
2006-06-01,661.0
2006-07-01,696.0
2006-08-01,658.0
2006-09-01,783.0
2006-10-01,682.0
2006-11-01,699.0
2006-12-01,716.0
2007-01-01,710.0
2007-02-01,710.0
2007-03-01,712.0
2007-04-01,820.0
2007-05-01,878.0
2007-06-01,831.0
2007-07-01,717.0
2007-08-01,845.0
2007-09-01,703.0
2007-10-01,649.0
2007-11-01,699.0
2007-12-01,469.0
2008-01-01,609.0
2008-02-01,667.0
2008-03-01,548.0
2008-04-01,439.0
2008-05-01,560.0
2008-06-01,509.0
2008-07-01,577.0
2008-08-01,534.0
2008-09-01,501.0
2008-10-01,311.0
2008-11-01,423.0
2008-12-01,388.0
2009-01-01,336.0
2009-02-01,191.0
2009-03-01,252.0
2009-04-01,255.0
2009-05-01,232.0
2009-06-01,225.0
2009-07-01,255.0
2009-08-01,260.0
2009-09-01,284.0
2009-10-01,327.0
2009-11-01,285.0
2009-12-01,295.0
2010-01-01,315.0
2010-02-01,282.0
2010-03-01,323.0
2010-04-01,317.0
2010-05-01,332.0
2010-06-01,367.0
2010-07-01,399.0
2010-08-01,525.0
2010-09-01,573.0
2010-10-01,658.0
2010-11-01,717.0
2010-12-01,1053.0
2011-01-01,1237.0
2011-02-01,1133.0
2011-03-01,1127.0
2011-04-01,1301.0
2011-05-01,1359.0
2011-06-01,1320.0
2011-07-01,1433.0
2011-08-01,1454.0
2011-09-01,1346.0
2011-10-01,1120.0
2011-11-01,1394.0
2011-12-01,1294.0
2012-01-01,1361.0
2012-02-01,1550.0
2012-03-01,1844.0
2012-04-01,2175.0
2012-05-01,1835.0
2012-06-01,2280.0
2012-07-01,1475.0
2012-08-01,1937.0
2012-09-01,2468.0
2012-10-01,2284.0
2012-11-01,2202.0
2012-12-01,1862.0
2013-01-01,2152.0
2013-02-01,2008.0
2013-03-01,1988.0
2013-04-01,2070.0
2013-05-01,1940.0
2013-06-01,2010.0
2013-07-01,1905.0
2013-08-01,2001.0
2013-09-01,2173.0
2013-10-01,2177.0
2013-11-01,2076.0
2013-12-01,2585.0
2014-01-01,1951.0
2014-02-01,2065.0
2014-03-01,2076.0
