Tarih,TP_KISAVADEBORC_15
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,5904.0
2002-04-01,
2002-05-01,
2002-06-01,6045.0
2002-07-01,
2002-08-01,
2002-09-01,4867.0
2002-10-01,
2002-11-01,
2002-12-01,5625.0
2003-01-01,
2003-02-01,
2003-03-01,6897.0
2003-04-01,
2003-05-01,
2003-06-01,6458.0
2003-07-01,
2003-08-01,
2003-09-01,8430.0
2003-10-01,
2003-11-01,
2003-12-01,9408.0
2004-01-01,
2004-02-01,
2004-03-01,10428.0
2004-04-01,
2004-05-01,
2004-06-01,12116.0
2004-07-01,
2004-08-01,
2004-09-01,13713.0
2004-10-01,
2004-11-01,
2004-12-01,13887.0
2005-01-01,14576.0
2005-02-01,14363.0
2005-03-01,15125.0
2005-04-01,15783.0
2005-05-01,16197.0
2005-06-01,16760.0
2005-07-01,17237.0
2005-08-01,18543.0
2005-09-01,19192.0
2005-10-01,18996.0
2005-11-01,18031.0
2005-12-01,18293.0
2006-01-01,19185.0
2006-02-01,23171.0
2006-03-01,22029.0
2006-04-01,23686.0
2006-05-01,21802.0
2006-06-01,22494.0
2006-07-01,22642.0
2006-08-01,20177.0
2006-09-01,21270.0
2006-10-01,20811.0
2006-11-01,21042.0
2006-12-01,21168.0
2007-01-01,16022.0
2007-02-01,15662.0
2007-03-01,15091.0
2007-04-01,14232.0
2007-05-01,14122.0
2007-06-01,15682.0
2007-07-01,13241.0
2007-08-01,13424.0
2007-09-01,13853.0
2007-10-01,13344.0
2007-11-01,14308.0
2007-12-01,16431.0
2008-01-01,15200.0
2008-02-01,16527.0
2008-03-01,17125.0
2008-04-01,19361.0
2008-05-01,20471.0
2008-06-01,21886.0
2008-07-01,25312.0
2008-08-01,23274.0
2008-09-01,24332.0
2008-10-01,23303.0
2008-11-01,21355.0
2008-12-01,23760.0
2009-01-01,22073.0
2009-02-01,19712.0
2009-03-01,20051.0
2009-04-01,20665.0
2009-05-01,20389.0
2009-06-01,19928.0
2009-07-01,20039.0
2009-08-01,20281.0
2009-09-01,20078.0
2009-10-01,19085.0
2009-11-01,20224.0
2009-12-01,22178.0
2010-01-01,20998.0
2010-02-01,22336.0
2010-03-01,27046.0
2010-04-01,28633.0
2010-05-01,29918.0
2010-06-01,33765.0
2010-07-01,33559.0
2010-08-01,32620.0
2010-09-01,37959.0
2010-10-01,40460.0
2010-11-01,42212.0
2010-12-01,49260.0
2011-01-01,49408.0
2011-02-01,46513.0
2011-03-01,47906.0
2011-04-01,49401.0
2011-05-01,53073.0
2011-06-01,53558.0
2011-07-01,54479.0
2011-08-01,53408.0
2011-09-01,52999.0
2011-10-01,53908.0
2011-11-01,54001.0
2011-12-01,48582.0
2012-01-01,52972.0
2012-02-01,53985.0
2012-03-01,51550.0
2012-04-01,57814.0
2012-05-01,56726.0
2012-06-01,56036.0
2012-07-01,58050.0
2012-08-01,63004.0
2012-09-01,60410.0
2012-10-01,62994.0
2012-11-01,64093.0
2012-12-01,61463.0
2013-01-01,67594.0
2013-02-01,68228.0
2013-03-01,73281.0
2013-04-01,76568.0
2013-05-01,75415.0
2013-06-01,78476.0
2013-07-01,78020.0
2013-08-01,80353.0
2013-09-01,79623.0
