Tarih,TP_KISAVADEBORC_8
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,987.0
2002-04-01,
2002-05-01,
2002-06-01,986.0
2002-07-01,
2002-08-01,
2002-09-01,839.0
2002-10-01,
2002-11-01,
2002-12-01,915.0
2003-01-01,
2003-02-01,
2003-03-01,1098.0
2003-04-01,
2003-05-01,
2003-06-01,1093.0
2003-07-01,
2003-08-01,
2003-09-01,1240.0
2003-10-01,
2003-11-01,
2003-12-01,1341.0
2004-01-01,
2004-02-01,
2004-03-01,1370.0
2004-04-01,
2004-05-01,
2004-06-01,1347.0
2004-07-01,
2004-08-01,
2004-09-01,1368.0
2004-10-01,
2004-11-01,
2004-12-01,1815.0
2005-01-01,2047.0
2005-02-01,2057.0
2005-03-01,1950.0
2005-04-01,2036.0
2005-05-01,1984.0
2005-06-01,1703.0
2005-07-01,1682.0
2005-08-01,1662.0
2005-09-01,1643.0
2005-10-01,1661.0
2005-11-01,1642.0
2005-12-01,1733.0
2006-01-01,1335.0
2006-02-01,1302.0
2006-03-01,1566.0
2006-04-01,1356.0
2006-05-01,1443.0
2006-06-01,1157.0
2006-07-01,1202.0
2006-08-01,1332.0
2006-09-01,1270.0
2006-10-01,1666.0
2006-11-01,1477.0
2006-12-01,1555.0
2007-01-01,1597.0
2007-02-01,1409.0
2007-03-01,1948.0
2007-04-01,1864.0
2007-05-01,1855.0
2007-06-01,1698.0
2007-07-01,1709.0
2007-08-01,1534.0
2007-09-01,1718.0
2007-10-01,1547.0
2007-11-01,1545.0
2007-12-01,2163.0
2008-01-01,2445.0
2008-02-01,1913.0
2008-03-01,2336.0
2008-04-01,2351.0
2008-05-01,1917.0
2008-06-01,1629.0
2008-07-01,1756.0
2008-08-01,2477.0
2008-09-01,3039.0
2008-10-01,2649.0
2008-11-01,3062.0
2008-12-01,3148.0
2009-01-01,3200.0
2009-02-01,3060.0
2009-03-01,2632.0
2009-04-01,2938.0
2009-05-01,2692.0
2009-06-01,2910.0
2009-07-01,3173.0
2009-08-01,3272.0
2009-09-01,3397.0
2009-10-01,3894.0
2009-11-01,3902.0
2009-12-01,3598.0
2010-01-01,4043.0
2010-02-01,5298.0
2010-03-01,4697.0
2010-04-01,4692.0
2010-05-01,4784.0
2010-06-01,5605.0
2010-07-01,10076.0
2010-08-01,9052.0
2010-09-01,7002.0
2010-10-01,6291.0
2010-11-01,5173.0
2010-12-01,4290.0
2011-01-01,4198.0
2011-02-01,4772.0
2011-03-01,4977.0
2011-04-01,5138.0
2011-05-01,4715.0
2011-06-01,5798.0
2011-07-01,6180.0
2011-08-01,7800.0
2011-09-01,7613.0
2011-10-01,7041.0
2011-11-01,6632.0
2011-12-01,8564.0
2012-01-01,8314.0
2012-02-01,9476.0
2012-03-01,12352.0
2012-04-01,10954.0
2012-05-01,12423.0
2012-06-01,14459.0
2012-07-01,11136.0
2012-08-01,10344.0
2012-09-01,11873.0
2012-10-01,10214.0
2012-11-01,10404.0
2012-12-01,13324.0
2013-01-01,12635.0
2013-02-01,12955.0
2013-03-01,14221.0
2013-04-01,15869.0
2013-05-01,16234.0
2013-06-01,17091.0
2013-07-01,17616.0
2013-08-01,17940.0
2013-09-01,18598.0
