Tarih,TP_KISAVADEBORC_18
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,8177.0
2002-04-01,
2002-05-01,
2002-06-01,9204.0
2002-07-01,
2002-08-01,
2002-09-01,9593.0
2002-10-01,
2002-11-01,
2002-12-01,10484.0
2003-01-01,
2003-02-01,
2003-03-01,10092.0
2003-04-01,
2003-05-01,
2003-06-01,11524.0
2003-07-01,
2003-08-01,
2003-09-01,12647.0
2003-10-01,
2003-11-01,
2003-12-01,13681.0
2004-01-01,
2004-02-01,
2004-03-01,14179.0
2004-04-01,
2004-05-01,
2004-06-01,15839.0
2004-07-01,
2004-08-01,
2004-09-01,16557.0
2004-10-01,
2004-11-01,
2004-12-01,17583.0
2005-01-01,17394.0
2005-02-01,17825.0
2005-03-01,17010.0
2005-04-01,18266.0
2005-05-01,19036.0
2005-06-01,18785.0
2005-07-01,19126.0
2005-08-01,19658.0
2005-09-01,19420.0
2005-10-01,19829.0
2005-11-01,19496.0
2005-12-01,20263.0
2006-01-01,19392.0
2006-02-01,19396.0
2006-03-01,19376.0
2006-04-01,21040.0
2006-05-01,22502.0
2006-06-01,23101.0
2006-07-01,23524.0
2006-08-01,23648.0
2006-09-01,23304.0
2006-10-01,23090.0
2006-11-01,23400.0
2006-12-01,23755.0
2007-01-01,23233.0
2007-02-01,22486.0
2007-03-01,22712.0
2007-04-01,24156.0
2007-05-01,26047.0
2007-06-01,26787.0
2007-07-01,28144.0
2007-08-01,28184.0
2007-09-01,28605.0
2007-10-01,28982.0
2007-11-01,30145.0
2007-12-01,30803.0
2008-01-01,31553.0
2008-02-01,31457.0
2008-03-01,32029.0
2008-04-01,32823.0
2008-05-01,34433.0
2008-06-01,35848.0
2008-07-01,37314.0
2008-08-01,37124.0
2008-09-01,36493.0
2008-10-01,33350.0
2008-11-01,30036.0
2008-12-01,27376.0
2009-01-01,24490.0
2009-02-01,23238.0
2009-03-01,25802.0
2009-04-01,26593.0
2009-05-01,27635.0
2009-06-01,27912.0
2009-07-01,28898.0
2009-08-01,28289.0
2009-09-01,28204.0
2009-10-01,27955.0
2009-11-01,27844.0
2009-12-01,28466.0
2010-01-01,27474.0
2010-02-01,26543.0
2010-03-01,26708.0
2010-04-01,28590.0
2010-05-01,29718.0
2010-06-01,29491.0
2010-07-01,30281.0
2010-08-01,32179.0
2010-09-01,32384.0
2010-10-01,33564.0
2010-11-01,33803.0
2010-12-01,37845.0
2011-01-01,36908.0
2011-02-01,36015.0
2011-03-01,35670.0
2011-04-01,37902.0
2011-05-01,40425.0
2011-06-01,40387.0
2011-07-01,40496.0
2011-08-01,39445.0
2011-09-01,39077.0
2011-10-01,38168.0
2011-11-01,39733.0
2011-12-01,38482.0
2012-01-01,37628.0
2012-02-01,35448.0
2012-03-01,35959.0
2012-04-01,37668.0
2012-05-01,39193.0
2012-06-01,38094.0
2012-07-01,37740.0
2012-08-01,37224.0
2012-09-01,37096.0
2012-10-01,36454.0
2012-11-01,37490.0
2012-12-01,38798.0
2013-01-01,38708.0
2013-02-01,38457.0
2013-03-01,36300.0
2013-04-01,37983.0
2013-05-01,39203.0
2013-06-01,38714.0
2013-07-01,39933.0
2013-08-01,38804.0
2013-09-01,38891.0
