Tarih,TP_PB_BLY05
2023-01-01,103944968.0
2023-02-01,111869539.0
2023-03-01,114298891.0
2023-04-01,120956011.0
2023-05-01,116330359.0
2023-06-01,157234025.0
2023-07-01,155260173.0
2023-08-01,155488341.0
2023-09-01,168284588.0
2023-10-01,177673801.0
2023-11-01,213651192.0
2023-12-01,209252588.0
2024-01-01,246737788.0
2024-02-01,258552072.0
2024-03-01,285077715.0
2024-04-01,287956972.0
2024-05-01,274370418.0
2024-06-01,298364803.0
2024-07-01,307248916.0
2024-08-01,348849080.0
2024-09-01,350660769.0
2024-10-01,346384623.0
2024-11-01,348996651.0
2024-12-01,368477945.0
2025-01-01,388640523.0
2025-02-01,394425356.0
2025-03-01,431512085.0
2025-04-01,450792387.0
2025-05-01,483327286.0
2025-06-01,494035737.0
2025-07-01,508414731.0
2025-08-01,546002823.0
