Tarih,TP_PB_BLV21
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,146897.0
2006-01-01,138072.0
2006-02-01,136142.0
2006-03-01,158809.0
2006-04-01,163766.0
2006-05-01,525051.0
2006-06-01,552490.0
2006-07-01,384363.0
2006-08-01,347052.0
2006-09-01,379281.0
2006-10-01,300608.0
2006-11-01,307877.0
2006-12-01,254638.0
2007-01-01,233304.0
2007-02-01,225265.0
2007-03-01,226424.0
2007-04-01,202600.0
2007-05-01,195855.0
2007-06-01,204565.0
2007-07-01,211796.0
2007-08-01,265506.0
2007-09-01,241565.0
2007-10-01,230946.0
2007-11-01,239923.0
2007-12-01,233848.0
2008-01-01,238192.0
2008-02-01,283439.0
2008-03-01,686707.0
2008-04-01,583550.0
2008-05-01,402961.0
2008-06-01,445806.0
2008-07-01,346054.0
2008-08-01,341988.0
2008-09-01,459233.0
2008-10-01,1491934.0
2008-11-01,1675266.0
2008-12-01,1545858.0
2009-01-01,1699547.0
2009-02-01,1843912.0
2009-03-01,1741575.0
2009-04-01,1382055.0
2009-05-01,1284269.0
2009-06-01,1185682.0
2009-07-01,1023554.0
2009-08-01,1071468.0
2009-09-01,1070188.0
2009-10-01,1081343.0
2009-11-01,1053303.0
2009-12-01,1007241.0
2010-01-01,950361.0
2010-02-01,1036832.0
2010-03-01,991911.0
2010-04-01,859834.0
2010-05-01,981893.0
2010-06-01,1025595.0
2010-07-01,867468.0
2010-08-01,842033.0
2010-09-01,785325.0
2010-10-01,788190.0
2010-11-01,885774.0
2010-12-01,1108805.0
2011-01-01,1396069.0
2011-02-01,1315718.0
2011-03-01,1151534.0
2011-04-01,1137275.0
2011-05-01,1379304.0
2011-06-01,1575259.0
2011-07-01,1783477.0
2011-08-01,2074884.0
2011-09-01,2307369.0
2011-10-01,1836871.0
2011-11-01,2026926.0
2011-12-01,2089177.0
2012-01-01,1568315.0
2012-02-01,1412563.0
2012-03-01,1477904.0
2012-04-01,1358187.0
2012-05-01,1559187.0
2012-06-01,1436645.0
2012-07-01,1330208.0
2012-08-01,1385361.0
2012-09-01,1288375.0
2012-10-01,1304380.0
2012-11-01,1242119.0
2012-12-01,1256565.0
2013-01-01,1262577.0
2013-02-01,1264970.0
2013-03-01,1252728.0
2013-04-01,1165182.0
2013-05-01,1668114.0
2013-06-01,2061338.0
2013-07-01,2061703.0
2013-08-01,3044798.0
2013-09-01,2829871.0
2013-10-01,2356296.0
2013-11-01,2419129.0
2013-12-01,3309889.0
