Tarih,TP_PB_BLV03
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,12931.0
2006-01-01,13975.0
2006-02-01,24219.0
2006-03-01,14205.0
2006-04-01,20103.0
2006-05-01,16853.0
2006-06-01,23032.0
2006-07-01,32456.0
2006-08-01,31226.0
2006-09-01,22811.0
2006-10-01,24070.0
2006-11-01,32228.0
2006-12-01,36609.0
2007-01-01,22563.0
2007-02-01,39803.0
2007-03-01,30265.0
2007-04-01,50296.0
2007-05-01,30353.0
2007-06-01,27411.0
2007-07-01,36378.0
2007-08-01,44631.0
2007-09-01,30788.0
2007-10-01,32444.0
2007-11-01,46267.0
2007-12-01,61574.0
2008-01-01,38269.0
2008-02-01,31808.0
2008-03-01,56223.0
2008-04-01,45093.0
2008-05-01,37811.0
2008-06-01,61478.0
2008-07-01,39011.0
2008-08-01,41401.0
2008-09-01,30160.0
2008-10-01,48590.0
2008-11-01,49090.0
2008-12-01,70426.0
2009-01-01,56827.0
2009-02-01,43888.0
2009-03-01,58510.0
2009-04-01,49458.0
2009-05-01,38076.0
2009-06-01,52632.0
2009-07-01,37735.0
2009-08-01,64426.0
2009-09-01,50361.0
2009-10-01,68307.0
2009-11-01,27544.0
2009-12-01,1059.0
2010-01-01,2029.0
2010-02-01,17195.0
2010-03-01,3253.0
2010-04-01,2208.0
2010-05-01,2316.0
2010-06-01,8245.0
2010-07-01,40129.0
2010-08-01,21079.0
2010-09-01,6763.0
2010-10-01,14355.0
2010-11-01,8555.0
2010-12-01,8501.0
2011-01-01,42193.0
2011-02-01,8702.0
2011-03-01,8540.0
2011-04-01,18921.0
2011-05-01,8511.0
2011-06-01,7425.0
2011-07-01,9043.0
2011-08-01,19040.0
2011-09-01,198029.0
2011-10-01,50584.0
2011-11-01,3481.0
2011-12-01,2413.0
2012-01-01,2820.0
2012-02-01,1824.0
2012-03-01,1442.0
2012-04-01,4029.0
2012-05-01,2168.0
2012-06-01,4920.0
2012-07-01,57853.0
2012-08-01,53485.0
2012-09-01,39275.0
2012-10-01,37586.0
2012-11-01,3077.0
2012-12-01,2274.0
2013-01-01,39509.0
2013-02-01,93709.0
2013-03-01,1583.0
2013-04-01,124597.0
2013-05-01,4553.0
2013-06-01,232308.0
2013-07-01,9107.0
2013-08-01,194415.0
2013-09-01,11172.0
2013-10-01,25294.0
2013-11-01,191144.0
2013-12-01,1034.0
2014-01-01,14841.0
2014-02-01,3218.0
2014-03-01,1784.0
2014-04-01,3268.0
2014-05-01,4236.0
