Tarih,TP_PB_BLY21
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,1843.0
2006-01-01,5418.0
2006-02-01,5585.0
2006-03-01,3780.0
2006-04-01,6901.0
2006-05-01,8134.0
2006-06-01,5729.0
2006-07-01,6986.0
2006-08-01,14824.0
2006-09-01,4787.0
2006-10-01,6512.0
2006-11-01,6514.0
2006-12-01,3777.0
2007-01-01,7398.0
2007-02-01,7963.0
2007-03-01,7093.0
2007-04-01,5124.0
2007-05-01,11304.0
2007-06-01,8791.0
2007-07-01,22894.0
2007-08-01,12424.0
2007-09-01,11818.0
2007-10-01,31206.0
2007-11-01,9595.0
2007-12-01,4322.0
2008-01-01,13354.0
2008-02-01,9364.0
2008-03-01,30724.0
2008-04-01,13690.0
2008-05-01,10511.0
2008-06-01,22645.0
2008-07-01,11288.0
2008-08-01,9080.0
2008-09-01,26708.0
2008-10-01,9258.0
2008-11-01,11850.0
2008-12-01,9768.0
2009-01-01,10539.0
2009-02-01,14354.0
2009-03-01,9382.0
2009-04-01,13110.0
2009-05-01,17325.0
2009-06-01,13326.0
2009-07-01,8593.0
2009-08-01,13416.0
2009-09-01,13737.0
2009-10-01,16343.0
2009-11-01,39471.0
2009-12-01,7489.0
2010-01-01,13941.0
2010-02-01,26041.0
2010-03-01,19102.0
2010-04-01,11536.0
2010-05-01,20000.0
2010-06-01,15843.0
2010-07-01,12144.0
2010-08-01,24815.0
2010-09-01,14514.0
2010-10-01,33666.0
2010-11-01,21016.0
2010-12-01,13776.0
2011-01-01,22180.0
2011-02-01,28096.0
2011-03-01,21278.0
2011-04-01,22558.0
2011-05-01,22697.0
2011-06-01,16164.0
2011-07-01,36758.0
2011-08-01,43573.0
2011-09-01,21090.0
2011-10-01,23907.0
2011-11-01,19486.0
2011-12-01,16115.0
2012-01-01,29369.0
2012-02-01,27349.0
2012-03-01,21046.0
2012-04-01,32191.0
2012-05-01,28364.0
2012-06-01,31310.0
2012-07-01,18738.0
2012-08-01,24901.0
2012-09-01,24932.0
2012-10-01,33791.0
2012-11-01,28467.0
2012-12-01,25347.0
2013-01-01,20498.0
2013-02-01,27150.0
2013-03-01,19007.0
2013-04-01,50677.0
2013-05-01,48151.0
2013-06-01,56377.0
2013-07-01,33976.0
2013-08-01,83832.0
2013-09-01,51638.0
2013-10-01,52884.0
2013-11-01,50192.0
2013-12-01,34645.0
2014-01-01,51285.0
2014-02-01,105312.0
2014-03-01,40995.0
2014-04-01,60685.0
2014-05-01,37642.0
