Tarih,TP_PB_BLV02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,93311.0
2006-01-01,66935.0
2006-02-01,64372.0
2006-03-01,62989.0
2006-04-01,60330.0
2006-05-01,71839.0
2006-06-01,79662.0
2006-07-01,89688.0
2006-08-01,83733.0
2006-09-01,80733.0
2006-10-01,78995.0
2006-11-01,96104.0
2006-12-01,115973.0
2007-01-01,82824.0
2007-02-01,99905.0
2007-03-01,84493.0
2007-04-01,91596.0
2007-05-01,75024.0
2007-06-01,73587.0
2007-07-01,76606.0
2007-08-01,84884.0
2007-09-01,71448.0
2007-10-01,78278.0
2007-11-01,72364.0
2007-12-01,90362.0
2008-01-01,70186.0
2008-02-01,80536.0
2008-03-01,101566.0
2008-04-01,78915.0
2008-05-01,81481.0
2008-06-01,99339.0
2008-07-01,81491.0
2008-08-01,83718.0
2008-09-01,92937.0
2008-10-01,107958.0
2008-11-01,121738.0
2008-12-01,118136.0
2009-01-01,94282.0
2009-02-01,97871.0
2009-03-01,93792.0
2009-04-01,93888.0
2009-05-01,93472.0
2009-06-01,94573.0
2009-07-01,94185.0
2009-08-01,97720.0
2009-09-01,97972.0
2009-10-01,94633.0
2009-11-01,101938.0
2009-12-01,123183.0
2010-01-01,84232.0
2010-02-01,86299.0
2010-03-01,90507.0
2010-04-01,94729.0
2010-05-01,100649.0
2010-06-01,113856.0
2010-07-01,145541.0
2010-08-01,159165.0
2010-09-01,144996.0
2010-10-01,141990.0
2010-11-01,131634.0
2010-12-01,152602.0
2011-01-01,202681.0
2011-02-01,206883.0
2011-03-01,187801.0
2011-04-01,213304.0
2011-05-01,183954.0
2011-06-01,172638.0
2011-07-01,167873.0
2011-08-01,223595.0
2011-09-01,186435.0
2011-10-01,253340.0
2011-11-01,187619.0
2011-12-01,192816.0
2012-01-01,197992.0
2012-02-01,165494.0
2012-03-01,239566.0
2012-04-01,243510.0
2012-05-01,231103.0
2012-06-01,243903.0
2012-07-01,203361.0
2012-08-01,328941.0
2012-09-01,311014.0
2012-10-01,221017.0
2012-11-01,297376.0
2012-12-01,282305.0
2013-01-01,261153.0
2013-02-01,301395.0
2013-03-01,265561.0
2013-04-01,460500.0
2013-05-01,374398.0
2013-06-01,589765.0
2013-07-01,391594.0
2013-08-01,403088.0
2013-09-01,592584.0
2013-10-01,489268.0
2013-11-01,458700.0
2013-12-01,677924.0
2014-01-01,479346.0
2014-02-01,458816.0
2014-03-01,484745.0
2014-04-01,484344.0
2014-05-01,524437.0
