Tarih,TP_PB_BLV27
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,51845.0
2006-01-01,50885.0
2006-02-01,50885.0
2006-03-01,48974.0
2006-04-01,47286.0
2006-05-01,45989.0
2006-06-01,38093.0
2006-07-01,35693.0
2006-08-01,35027.0
2006-09-01,34795.0
2006-10-01,32747.0
2006-11-01,29780.0
2006-12-01,32935.0
2007-01-01,34326.0
2007-02-01,33616.0
2007-03-01,32136.0
2007-04-01,31531.0
2007-05-01,30079.0
2007-06-01,26081.0
2007-07-01,25535.0
2007-08-01,23888.0
2007-09-01,11532.0
2007-10-01,10554.0
2007-11-01,9025.0
2007-12-01,10366.0
2008-01-01,11708.0
2008-02-01,7113.0
2008-03-01,10842.0
2008-04-01,8062.0
2008-05-01,3562.0
2008-06-01,10079.0
2008-07-01,10649.0
2008-08-01,9276.0
2008-09-01,12766.0
2008-10-01,14973.0
2008-11-01,11846.0
2008-12-01,12781.0
2009-01-01,10492.0
2009-02-01,20103.0
2009-03-01,14409.0
2009-04-01,3834.0
2009-05-01,15726.0
2009-06-01,17445.0
2009-07-01,17582.0
2009-08-01,20150.0
2009-09-01,22099.0
2009-10-01,23161.0
2009-11-01,22422.0
2009-12-01,19415.0
2010-01-01,26570.0
2010-02-01,24227.0
2010-03-01,24856.0
2010-04-01,27638.0
2010-05-01,28423.0
2010-06-01,31486.0
2010-07-01,30985.0
2010-08-01,34216.0
2010-09-01,31600.0
2010-10-01,35956.0
2010-11-01,39886.0
2010-12-01,31735.0
2011-01-01,40550.0
2011-02-01,37945.0
2011-03-01,32387.0
2011-04-01,32940.0
2011-05-01,42631.0
2011-06-01,43931.0
2011-07-01,46917.0
2011-08-01,54854.0
2011-09-01,74628.0
2011-10-01,77410.0
2011-11-01,87375.0
2011-12-01,82353.0
2012-01-01,62912.0
2012-02-01,63502.0
2012-03-01,61794.0
2012-04-01,59685.0
2012-05-01,59550.0
2012-06-01,66664.0
2012-07-01,68115.0
2012-08-01,70913.0
2012-09-01,74467.0
2012-10-01,79149.0
2012-11-01,71668.0
2012-12-01,56184.0
2013-01-01,55398.0
2013-02-01,56061.0
2013-03-01,57702.0
2013-04-01,59805.0
2013-05-01,70616.0
2013-06-01,74197.0
2013-07-01,82896.0
2013-08-01,91198.0
2013-09-01,76074.0
2013-10-01,78777.0
2013-11-01,90812.0
2013-12-01,94273.0
2014-01-01,101400.0
2014-02-01,104624.0
2014-03-01,95057.0
2014-04-01,94897.0
2014-05-01,92635.0
