Tarih,TP_PB_BLY37
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,9947798.0
2006-01-01,9685957.0
2006-02-01,9890438.0
2006-03-01,10195537.0
2006-04-01,10441328.0
2006-05-01,11685846.0
2006-06-01,12233778.0
2006-07-01,12100754.0
2006-08-01,12323181.0
2006-09-01,12626418.0
2006-10-01,13094249.0
2006-11-01,13372430.0
2006-12-01,13656867.0
2007-01-01,13733708.0
2007-02-01,14549489.0
2007-03-01,14657933.0
2007-04-01,15590167.0
2007-05-01,15743036.0
2007-06-01,16548016.0
2007-07-01,17278398.0
2007-08-01,17548428.0
2007-09-01,17184254.0
2007-10-01,18171645.0
2007-11-01,18750653.0
2007-12-01,19240210.0
2008-01-01,19311264.0
2008-02-01,19624909.0
2008-03-01,21201722.0
2008-04-01,21778965.0
2008-05-01,21582092.0
2008-06-01,22877363.0
2008-07-01,22657444.0
2008-08-01,22148504.0
2008-09-01,23270267.0
2008-10-01,25133337.0
2008-11-01,25094935.0
2008-12-01,25636561.0
2009-01-01,26363460.0
2009-02-01,27238806.0
2009-03-01,28168107.0
2009-04-01,28119532.0
2009-05-01,28114948.0
2009-06-01,29467147.0
2009-07-01,29845902.0
2009-08-01,30953364.0
2009-09-01,31715480.0
2009-10-01,32097070.0
2009-11-01,32300220.0
2009-12-01,33691636.0
2010-01-01,33405086.0
2010-02-01,34122213.0
2010-03-01,34647450.0
2010-04-01,36230062.0
2010-05-01,36375114.0
2010-06-01,36989327.0
2010-07-01,37177367.0
2010-08-01,38584278.0
2010-09-01,39485704.0
2010-10-01,39778167.0
2010-11-01,41034283.0
2010-12-01,43232128.0
2011-01-01,44129405.0
2011-02-01,44880352.0
2011-03-01,44953245.0
2011-04-01,45225582.0
2011-05-01,46702562.0
2011-06-01,48103513.0
2011-07-01,48800481.0
2011-08-01,51045939.0
2011-09-01,53402697.0
2011-10-01,54489418.0
2011-11-01,55072211.0
2011-12-01,56050001.0
2012-01-01,54829389.0
2012-02-01,55273700.0
2012-03-01,56776983.0
2012-04-01,58039778.0
2012-05-01,60334982.0
2012-06-01,60685503.0
2012-07-01,61852608.0
2012-08-01,64015242.0
2012-09-01,64785568.0
2012-10-01,67062155.0
2012-11-01,68590731.0
2012-12-01,69980678.0
2013-01-01,71315365.0
2013-02-01,73323316.0
2013-03-01,74525351.0
2013-04-01,76219474.0
2013-05-01,81222132.0
2013-06-01,82750658.0
2013-07-01,84496367.0
2013-08-01,87903313.0
2013-09-01,90484384.0
