Tarih,TP_PB_BLY12
2024-01-01,4124292.0
2024-02-01,4349138.0
2024-03-01,4536299.0
2024-04-01,4896362.0
2024-05-01,5369345.0
2024-06-01,5741585.0
2024-07-01,5917634.0
2024-08-01,6273779.0
2024-09-01,6365016.0
2024-10-01,6570146.0
2024-11-01,6781987.0
2024-12-01,6754277.0
2025-01-01,7079383.0
2025-02-01,7259817.0
2025-03-01,7596336.0
2025-04-01,7879213.0
2025-05-01,8300759.0
2025-06-01,8564860.0
2025-07-01,8724035.0
2025-08-01,9120965.0
