Tarih,TP_PB_BLV17
2022-12-01,9085000.0
2023-01-01,9090064.0
2023-02-01,9327609.0
2023-03-01,9177758.0
2023-04-01,9764516.0
2023-05-01,9475141.0
2023-06-01,9897753.0
2023-07-01,9543140.0
2023-08-01,9819937.0
2023-09-01,10005097.0
2023-10-01,10024339.0
2023-11-01,10154372.0
2023-12-01,9827485.0
2024-01-01,10226574.0
2024-02-01,10662876.0
2024-03-01,10819916.0
2024-04-01,11288705.0
2024-05-01,11415793.0
2024-06-01,11599473.0
2024-07-01,12419335.0
2024-08-01,13073983.0
2024-09-01,13578463.0
2024-10-01,14822182.0
2024-11-01,15800983.0
2024-12-01,16537839.0
2025-01-01,17916520.0
2025-02-01,18546089.0
2025-03-01,20101849.0
2025-04-01,23721221.0
2025-05-01,26424999.0
2025-06-01,27426276.0
2025-07-01,29588573.0
2025-08-01,32262162.0
