Tarih,TP_PB_BLY07
2023-09-01,9402469.0
2023-10-01,9605898.0
2023-11-01,15336982.0
2023-12-01,16220050.0
2024-01-01,21522172.0
2024-02-01,13939070.0
2024-03-01,12543721.0
2024-04-01,15082473.0
2024-05-01,14828412.0
2024-06-01,18559654.0
2024-07-01,17355991.0
2024-08-01,18669816.0
2024-09-01,22754095.0
2024-10-01,18782395.0
2024-11-01,28894955.0
2024-12-01,40240235.0
2025-01-01,41148194.0
2025-02-01,28079838.0
2025-03-01,26104200.0
2025-04-01,31543379.0
2025-05-01,42563233.0
2025-06-01,36293931.0
2025-07-01,34621357.0
2025-08-01,38970989.0
