Tarih,TP_PB_BLY35
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,244522.0
2006-01-01,23585.0
2006-02-01,39848.0
2006-03-01,61977.0
2006-04-01,95062.0
2006-05-01,125132.0
2006-06-01,162803.0
2006-07-01,201121.0
2006-08-01,239124.0
2006-09-01,277665.0
2006-10-01,307867.0
2006-11-01,339642.0
2006-12-01,399993.0
2007-01-01,37526.0
2007-02-01,65198.0
2007-03-01,102403.0
2007-04-01,133348.0
2007-05-01,178448.0
2007-06-01,222785.0
2007-07-01,284427.0
2007-08-01,334637.0
2007-09-01,366861.0
2007-10-01,397845.0
2007-11-01,454070.0
2007-12-01,526683.0
2008-01-01,33847.0
2008-02-01,79942.0
2008-03-01,121507.0
2008-04-01,162379.0
2008-05-01,213814.0
2008-06-01,277638.0
2008-07-01,325192.0
2008-08-01,382032.0
2008-09-01,447380.0
2008-10-01,517288.0
2008-11-01,575543.0
2008-12-01,646583.0
2009-01-01,36869.0
2009-02-01,108281.0
2009-03-01,151072.0
2009-04-01,214916.0
2009-05-01,266487.0
2009-06-01,356236.0
2009-07-01,417721.0
2009-08-01,476066.0
2009-09-01,529516.0
2009-10-01,580962.0
2009-11-01,644140.0
2009-12-01,707517.0
2010-01-01,55890.0
2010-02-01,101740.0
2010-03-01,189079.0
2010-04-01,247524.0
2010-05-01,315717.0
2010-06-01,380245.0
2010-07-01,437061.0
2010-08-01,502745.0
2010-09-01,557118.0
2010-10-01,627375.0
2010-11-01,693400.0
2010-12-01,758742.0
2011-01-01,38717.0
2011-02-01,106286.0
2011-03-01,169363.0
2011-04-01,226284.0
2011-05-01,285024.0
2011-06-01,358675.0
2011-07-01,431671.0
2011-08-01,516223.0
2011-09-01,595407.0
2011-10-01,661917.0
2011-11-01,734727.0
2011-12-01,804125.0
2012-01-01,93210.0
2012-02-01,171157.0
2012-03-01,246444.0
2012-04-01,314674.0
2012-05-01,401196.0
2012-06-01,476423.0
2012-07-01,568230.0
2012-08-01,663091.0
2012-09-01,719725.0
2012-10-01,810514.0
2012-11-01,890630.0
2012-12-01,916533.0
2013-01-01,75176.0
2013-02-01,134170.0
2013-03-01,224315.0
2013-04-01,300179.0
2013-05-01,350031.0
2013-06-01,492328.0
2013-07-01,571305.0
2013-08-01,664184.0
2013-09-01,778666.0
2013-10-01,908043.0
2013-11-01,965079.0
2013-12-01,1046746.0
2014-01-01,74316.0
2014-02-01,132143.0
2014-03-01,269046.0
2014-04-01,581300.0
2014-05-01,647206.0
