Tarih,TP_AB_C2,TP_AB_C2
2000-01-07,2000-1,23995.0
2000-01-14,2000-2,23953.0
2000-01-21,2000-3,23899.0
2000-01-28,2000-4,23180.0
2000-02-04,2000-5,23537.0
2000-02-11,2000-6,23699.0
2000-02-18,2000-7,23914.0
2000-02-25,2000-8,23615.0
2000-03-03,2000-9,23236.0
2000-03-10,2000-10,23289.0
2000-03-17,2000-11,23835.0
2000-03-24,2000-12,23242.0
2000-03-31,2000-13,22926.0
2000-04-07,2000-14,23080.0
2000-04-14,2000-15,23156.0
2000-04-21,2000-16,22952.0
2000-04-28,2000-17,22337.0
2000-05-05,2000-18,22487.0
2000-05-12,2000-19,23279.0
2000-05-19,2000-20,22951.0
2000-05-26,2000-21,22621.0
2000-06-02,2000-22,23605.0
2000-06-09,2000-23,23844.0
2000-06-16,2000-24,24442.0
2000-06-23,2000-25,23584.0
2000-06-30,2000-26,24547.0
2000-07-07,2000-27,24336.0
2000-07-14,2000-28,24703.0
2000-07-21,2000-29,24114.0
2000-07-28,2000-30,24675.0
2000-08-04,2000-31,24380.0
2000-08-11,2000-32,24535.0
2000-08-18,2000-33,24744.0
2000-08-25,2000-34,24411.0
2000-09-01,2000-35,24592.0
2000-09-08,2000-36,23980.0
2000-09-15,2000-37,24552.0
2000-09-22,2000-38,24294.0
2000-09-29,2000-39,24222.0
2000-10-06,2000-40,24530.0
2000-10-13,2000-41,24839.0
2000-10-20,2000-42,24239.0
2000-10-27,2000-43,23249.0
2000-11-03,2000-44,24256.0
2000-11-10,2000-45,23583.0
2000-11-17,2000-46,24433.0
2000-11-24,2000-47,21583.0
2000-12-01,2000-48,18942.0
2000-12-08,2000-49,19624.0
2000-12-15,2000-50,19823.0
2000-12-22,2000-51,19934.0
2000-12-29,2000-52,19635.0
2001-01-05,2001-1,25097.0
2001-01-12,2001-2,26593.0
2001-01-19,2001-3,26143.0
2001-01-26,2001-4,25691.0
2001-02-02,2001-5,25928.0
2001-02-09,2001-6,26565.0
2001-02-16,2001-7,27943.0
2001-02-23,2001-8,22581.0
2001-03-02,2001-9,21521.0
2001-03-09,2001-10,21529.0
2001-03-16,2001-11,20060.0
2001-03-23,2001-12,19170.0
2001-03-30,2001-13,18445.0
2001-04-06,2001-14,18796.0
2001-04-13,2001-15,18666.0
2001-04-20,2001-16,17900.0
2001-04-27,2001-17,18210.0
2001-05-04,2001-18,18163.0
2001-05-11,2001-19,17810.0
2001-05-18,2001-20,21001.0
2001-05-25,2001-21,20526.0
2001-06-01,2001-22,19809.0
2001-06-08,2001-23,19645.0
2001-06-15,2001-24,19472.0
2001-06-22,2001-25,17060.0
2001-06-29,2001-26,16482.0
2001-07-06,2001-27,16379.0
2001-07-13,2001-28,15913.0
2001-07-20,2001-29,17768.0
2001-07-27,2001-30,17188.0
2001-08-03,2001-31,17593.0
2001-08-10,2001-32,18964.0
2001-08-17,2001-33,18911.0
2001-08-24,2001-34,18905.0
2001-08-31,2001-35,18714.0
2001-09-07,2001-36,17818.0
2001-09-14,2001-37,17943.0
2001-09-21,2001-38,17925.0
