Tarih,TP_AB_C1,TP_AB_C1
2000-01-07,2000-1,1011.0
2000-01-14,2000-2,1011.0
2000-01-21,2000-3,1011.0
2000-01-28,2000-4,1011.0
2000-02-04,2000-5,1011.0
2000-02-11,2000-6,1011.0
2000-02-18,2000-7,1011.0
2000-02-25,2000-8,1011.0
2000-03-03,2000-9,1011.0
2000-03-10,2000-10,1011.0
2000-03-17,2000-11,1011.0
2000-03-24,2000-12,1011.0
2000-03-31,2000-13,1011.0
2000-04-07,2000-14,1011.0
2000-04-14,2000-15,1011.0
2000-04-21,2000-16,1011.0
2000-04-28,2000-17,1011.0
2000-05-05,2000-18,1011.0
2000-05-12,2000-19,1011.0
2000-05-19,2000-20,1011.0
2000-05-26,2000-21,1011.0
2000-06-02,2000-22,1011.0
2000-06-09,2000-23,1011.0
2000-06-16,2000-24,1011.0
2000-06-23,2000-25,1011.0
2000-06-30,2000-26,1011.0
2000-07-07,2000-27,1011.0
2000-07-14,2000-28,1010.0
2000-07-21,2000-29,1010.0
2000-07-28,2000-30,1010.0
2000-08-04,2000-31,1010.0
2000-08-11,2000-32,1010.0
2000-08-18,2000-33,1010.0
2000-08-25,2000-34,1010.0
2000-09-01,2000-35,1010.0
2000-09-08,2000-36,1010.0
2000-09-15,2000-37,1010.0
2000-09-22,2000-38,1010.0
2000-09-29,2000-39,1010.0
2000-10-06,2000-40,1010.0
2000-10-13,2000-41,1010.0
2000-10-20,2000-42,1010.0
2000-10-27,2000-43,1010.0
2000-11-03,2000-44,1010.0
2000-11-10,2000-45,1010.0
2000-11-17,2000-46,1010.0
2000-11-24,2000-47,1010.0
2000-12-01,2000-48,1010.0
2000-12-08,2000-49,1010.0
2000-12-15,2000-50,1010.0
2000-12-22,2000-51,1009.0
2000-12-29,2000-52,1009.0
2001-01-05,2001-1,1009.0
2001-01-12,2001-2,1009.0
2001-01-19,2001-3,1009.0
2001-01-26,2001-4,1009.0
2001-02-02,2001-5,1009.0
2001-02-09,2001-6,1009.0
2001-02-16,2001-7,1009.0
2001-02-23,2001-8,1009.0
2001-03-02,2001-9,1009.0
2001-03-09,2001-10,1009.0
2001-03-16,2001-11,1005.0
2001-03-23,2001-12,1005.0
2001-03-30,2001-13,1005.0
2001-04-06,2001-14,1005.0
2001-04-13,2001-15,1005.0
2001-04-20,2001-16,1005.0
2001-04-27,2001-17,1005.0
