Tarih,TP_AB_TOPLAM,TP_AB_TOPLAM
2000-01-07,2000-1,25006.0
2000-01-14,2000-2,24964.0
2000-01-21,2000-3,24910.0
2000-01-28,2000-4,24191.0
2000-02-04,2000-5,24548.0
2000-02-11,2000-6,24710.0
2000-02-18,2000-7,24925.0
2000-02-25,2000-8,24626.0
2000-03-03,2000-9,24247.0
2000-03-10,2000-10,24300.0
2000-03-17,2000-11,24846.0
2000-03-24,2000-12,24253.0
2000-03-31,2000-13,23937.0
2000-04-07,2000-14,24091.0
2000-04-14,2000-15,24167.0
2000-04-21,2000-16,23963.0
2000-04-28,2000-17,23348.0
2000-05-05,2000-18,23498.0
2000-05-12,2000-19,24290.0
2000-05-19,2000-20,23962.0
2000-05-26,2000-21,23632.0
2000-06-02,2000-22,24616.0
2000-06-09,2000-23,24855.0
2000-06-16,2000-24,25453.0
2000-06-23,2000-25,24595.0
2000-06-30,2000-26,25558.0
2000-07-07,2000-27,25347.0
2000-07-14,2000-28,25713.0
2000-07-21,2000-29,25124.0
2000-07-28,2000-30,25685.0
2000-08-04,2000-31,25390.0
2000-08-11,2000-32,25545.0
2000-08-18,2000-33,25754.0
2000-08-25,2000-34,25421.0
2000-09-01,2000-35,25602.0
2000-09-08,2000-36,24990.0
2000-09-15,2000-37,25562.0
2000-09-22,2000-38,25304.0
2000-09-29,2000-39,25232.0
2000-10-06,2000-40,25540.0
2000-10-13,2000-41,25849.0
2000-10-20,2000-42,25249.0
2000-10-27,2000-43,24259.0
2000-11-03,2000-44,25266.0
2000-11-10,2000-45,24593.0
2000-11-17,2000-46,25443.0
2000-11-24,2000-47,22593.0
2000-12-01,2000-48,19952.0
2000-12-08,2000-49,20634.0
2000-12-15,2000-50,20833.0
2000-12-22,2000-51,20943.0
2000-12-29,2000-52,20644.0
2001-01-05,2001-1,26106.0
2001-01-12,2001-2,27602.0
2001-01-19,2001-3,27152.0
2001-01-26,2001-4,26700.0
2001-02-02,2001-5,26937.0
2001-02-09,2001-6,27574.0
2001-02-16,2001-7,28952.0
2001-02-23,2001-8,23590.0
2001-03-02,2001-9,22530.0
2001-03-09,2001-10,22538.0
2001-03-16,2001-11,21065.0
2001-03-23,2001-12,20175.0
2001-03-30,2001-13,19450.0
2001-04-06,2001-14,19801.0
2001-04-13,2001-15,19671.0
2001-04-20,2001-16,18905.0
2001-04-27,2001-17,19215.0
2001-05-04,2001-18,19168.0
2001-05-11,2001-19,18815.0
