Tarih,TP_KVADEALACAKLI_PARK
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,6333.0
2002-04-01,6400.0
2002-07-01,4683.0
2002-10-01,5383.0
2003-01-01,6782.0
2003-04-01,6382.0
2003-07-01,8395.0
2003-10-01,9317.0
2004-01-01,10540.0
2004-04-01,11704.0
2004-07-01,13402.0
2004-10-01,13834.0
2005-01-01,15860.0
2005-04-01,16783.0
2005-07-01,18985.0
2005-10-01,18756.0
2006-01-01,22528.0
2006-04-01,22622.0
2006-07-01,21583.0
2006-10-01,21610.0
2007-01-01,15366.0
2007-04-01,15798.0
2007-07-01,13962.0
2007-10-01,16688.0
2008-01-01,17372.0
2008-04-01,21370.0
2008-07-01,25541.0
2008-10-01,24283.0
2009-01-01,20019.0
2009-04-01,19880.0
2009-07-01,19855.0
2009-10-01,21518.0
2010-01-01,27368.0
2010-04-01,35708.0
2010-07-01,41386.0
2010-10-01,50136.0
2011-01-01,49390.0
2011-04-01,55778.0
2011-07-01,55593.0
2011-10-01,51350.0
2012-01-01,57540.0
2012-04-01,64161.0
2012-07-01,67332.0
2012-10-01,68814.0
2013-01-01,80592.0
2013-04-01,87561.0
2013-07-01,88979.0
2013-10-01,92151.0
2014-01-01,88170.0
2014-04-01,91364.0
2014-07-01,90868.0
2014-10-01,89986.0
2015-01-01,88897.0
2015-04-01,83397.0
2015-07-01,74482.0
2015-10-01,57747.0
2016-01-01,62378.0
2016-04-01,59490.0
2016-07-01,57698.0
2016-10-01,51217.0
2017-01-01,55357.0
2017-04-01,57771.0
2017-07-01,56967.0
2017-10-01,57788.0
2018-01-01,58690.0
2018-04-01,57658.0
2018-07-01,53964.0
2018-10-01,48983.0
2019-01-01,44790.0
2019-04-01,44300.0
2019-07-01,42455.0
2019-10-01,40168.0
2020-01-01,38978.0
2020-04-01,40689.0
2020-07-01,41396.0
2020-10-01,45273.0
2021-01-01,46593.0
2021-04-01,45857.0
2021-07-01,65474.0
2021-10-01,60244.0
2022-01-01,67419.0
2022-04-01,67783.0
2022-07-01,69045.0
2022-10-01,73830.0
2023-01-01,83999.0
2023-04-01,90471.0
2023-07-01,91164.0
2023-10-01,95245.0
2024-01-01,96003.0
2024-04-01,99515.0
2024-07-01,94373.0
2024-10-01,92941.0
2025-01-01,90750.0
2025-04-01,85053.0
