Tarih,TP_FG_U63
2000-01-01,37026314.4
2000-02-01,37922299.9
2000-03-01,39161339.3
2000-04-01,41675361.3
2000-05-01,43177006.1
2000-06-01,43872635.7
2000-07-01,44355700.4
2000-08-01,45260611.1
2000-09-01,46437134.5
2000-10-01,48700026.1
2000-11-01,49205213.3
2000-12-01,50337128.7
2001-01-01,51328668.3
2001-02-01,51653769.7
2001-03-01,54600406.5
2001-04-01,59196041.6
2001-05-01,61732215.3
2001-06-01,63345287.8
2001-07-01,64959066.3
2001-08-01,65944609.5
2001-09-01,68438143.1
2001-10-01,73572774.2
2001-11-01,75841700.0
2001-12-01,78272096.6
2002-01-01,82964492.4
2002-02-01,85196332.4
2002-03-01,85678600.1
2002-04-01,87995822.9
2002-05-01,89812888.0
2002-06-01,90130533.7
2002-07-01,90332258.1
2002-08-01,91395424.4
2002-09-01,94747717.3
2002-10-01,98391872.4
2002-11-01,100630742.6
2002-12-01,101984996.4
2003-01-01,103787242.3
2003-02-01,106118690.5
2003-03-01,108913120.0
2003-04-01,112357962.6
2003-05-01,114501532.0
2003-06-01,116469891.1
2003-07-01,116666370.3
2003-08-01,117001133.7
2003-09-01,118392072.2
2003-10-01,121114608.0
2003-11-01,122532627.3
2003-12-01,124374080.1
2004-01-01,126282348.6
2004-02-01,127204133.2
2004-03-01,129067535.5
2004-04-01,130090499.5
2004-05-01,132202216.7
2004-06-01,133486099.7
2004-07-01,132713326.6
2004-08-01,133070813.0
2004-09-01,134211914.8
2004-10-01,134761235.9
2004-11-01,135820882.2
2004-12-01,133776827.7
2005-01-01,136157109.4
2005-02-01,137307403.0
2005-03-01,138922716.0
2005-04-01,141451697.0
2005-05-01,143137772.8
2005-06-01,142607100.1
2005-07-01,141501079.1
2005-08-01,144649825.0
2005-09-01,146107440.4
2005-10-01,148098065.4
2005-11-01,148221505.9
2005-12-01,148905062.5
2006-01-01,150314357.5
2006-02-01,152939405.5
2006-03-01,153152799.4
2006-04-01,155877148.1
2006-05-01,158531990.1
2006-06-01,160157997.6
2006-07-01,161637081.8
2006-08-01,161947850.9
2006-09-01,159240368.7
2006-10-01,162382191.6
2006-11-01,163855335.4
2006-12-01,163950372.8
2007-01-01,163942087.9
2007-02-01,165640350.9
2007-03-01,167340218.8
2007-04-01,172628270.1
2007-05-01,174196363.1
2007-06-01,174790211.2
2007-07-01,174197396.6
2007-08-01,175329599.4
2007-09-01,175518791.5
2007-10-01,179990090.3
2007-11-01,181935701.4
2007-12-01,182686278.1
2008-01-01,184833002.9
2008-02-01,188502874.3
2008-03-01,192878929.2
2008-04-01,199240510.5
2008-05-01,197754098.3
2008-06-01,199456728.5
2008-07-01,200352703.1
2008-08-01,204054159.8
2008-09-01,203133155.0
2008-10-01,207138345.5
2008-11-01,209429216.4
2008-12-01,206882098.4
2009-01-01,208030301.5
2009-02-01,207579284.6
2009-03-01,210834902.9
2009-04-01,214321349.6
