Tarih,TP_FG_T63
2000-01-01,13249820.7
2000-02-01,13797137.7
2000-03-01,14104250.1
2000-04-01,14538346.0
2000-05-01,14968972.8
2000-06-01,15314788.4
2000-07-01,15550809.5
2000-08-01,15998748.1
2000-09-01,16342933.0
2000-10-01,16694714.6
2000-11-01,17048493.2
2000-12-01,17369927.3
2001-01-01,17597420.0
2001-02-01,17883684.5
2001-03-01,19427682.6
2001-04-01,21931584.0
2001-05-01,23184674.3
2001-06-01,23764791.0
2001-07-01,24686697.8
2001-08-01,25645076.6
2001-09-01,26810196.7
2001-10-01,28444152.6
2001-11-01,30129990.9
2001-12-01,31021586.2
2002-01-01,32001991.1
2002-02-01,32956721.3
2002-03-01,33793797.7
2002-04-01,34212514.9
2002-05-01,34515009.7
2002-06-01,34688138.9
2002-07-01,35437575.4
2002-08-01,35884508.3
2002-09-01,36325533.4
2002-10-01,37201204.4
2002-11-01,38316426.6
2002-12-01,39374404.6
2003-01-01,40710927.8
2003-02-01,41631973.6
2003-03-01,42373759.8
2003-04-01,43121414.7
2003-05-01,43260845.2
2003-06-01,43768534.0
2003-07-01,44038548.9
2003-08-01,44354429.7
2003-09-01,44429251.8
2003-10-01,45216922.4
2003-11-01,46074645.2
2003-12-01,46677006.9
2004-01-01,46828689.0
2004-02-01,47241752.5
2004-03-01,48041991.3
2004-04-01,48507512.0
2004-05-01,49067733.7
2004-06-01,49121656.1
2004-07-01,48252853.4
2004-08-01,48801930.3
2004-09-01,49669981.7
2004-10-01,50201535.4
2004-11-01,50279621.5
2004-12-01,50307067.2
2005-01-01,50599669.9
2005-02-01,50791490.7
2005-03-01,50818583.9
2005-04-01,51416258.3
2005-05-01,51658886.8
2005-06-01,51541351.0
2005-07-01,51572065.5
2005-08-01,51817072.8
2005-09-01,52182444.5
2005-10-01,52269425.6
2005-11-01,52533475.4
2005-12-01,52974882.9
2006-01-01,53015321.6
2006-02-01,53259223.7
2006-03-01,53347616.1
2006-04-01,53987377.4
2006-05-01,55224251.2
2006-06-01,56189001.7
2006-07-01,56259953.0
2006-08-01,56314879.1
2006-09-01,57015862.7
2006-10-01,57352984.0
2006-11-01,57974034.5
2006-12-01,58462307.2
2007-01-01,58729486.0
2007-02-01,58665428.5
2007-03-01,59484240.6
2007-04-01,59878977.2
2007-05-01,59959697.0
2007-06-01,59397625.4
2007-07-01,60063343.9
2007-08-01,61095994.8
2007-09-01,61667133.8
2007-10-01,62178565.8
2007-11-01,62778491.4
2007-12-01,62703231.1
2008-01-01,63265866.2
2008-02-01,63893175.1
2008-03-01,65583912.4
2008-04-01,68134750.8
2008-05-01,68969258.0
2008-06-01,68259669.0
2008-07-01,68930269.5
2008-08-01,68278643.9
2008-09-01,68387203.1
2008-10-01,69140897.9
2008-11-01,69215473.5
2008-12-01,67631429.0
2009-01-01,67245350.6
2009-02-01,67296995.5
2009-03-01,67731543.6
