Tarih,TP_GSYIH26_IFK_CF
2000-01-01,36022584.275701
2000-04-01,41419656.3902257
2000-07-01,47930081.0283254
2000-10-01,46405637.7189418
2001-01-01,48788929.10198049
2001-04-01,59436700.2564273
2001-07-01,70087295.1566957
2001-10-01,69494939.5250155
2002-01-01,74147803.425713
2002-04-01,86155636.0705967
2002-07-01,101734048.2923579
2002-10-01,100869386.8181219
2003-01-01,101837606.4421779
2003-04-01,114048147.6301009
2003-07-01,130535390.9930319
2003-10-01,126947327.567892
2004-01-01,124158764.6065039
2004-04-01,140826436.5659399
2004-07-01,160312376.3467299
2004-10-01,159396094.6198469
2005-01-01,147158922.865687
2005-04-01,163817314.154558
2005-07-01,186304995.6667479
2005-10-01,185681098.8420369
2006-01-01,167820666.753066
2006-04-01,197199044.124381
2006-07-01,216706872.7616739
2006-10-01,217733018.839536
2007-01-01,195678319.073105
2007-04-01,215185292.2994669
2007-07-01,238594399.890812
2007-10-01,243347418.7837769
2008-01-01,225491930.319312
2008-04-01,254094877.5581229
2008-07-01,270679090.2849249
2008-10-01,258955012.581921
2009-01-01,215723454.1399129
2009-04-01,244872328.495052
2009-07-01,274749403.11799
2009-10-01,278165055.8699489
2010-01-01,245238589.2926479
2010-04-01,282700671.661903
2010-07-01,322044463.138908
2010-10-01,326064244.8825439
2011-01-01,296328464.6296569
2011-04-01,341163165.496872
2011-07-01,385954610.135374
2011-10-01,390538220.90934
2012-01-01,339453805.039846
2012-04-01,387344421.610499
2012-07-01,428883048.5896289
2012-10-01,434368020.0162389
2013-01-01,392753083.380881
2013-04-01,446996350.5396879
2013-07-01,495445687.68149
2013-10-01,496548848.9003919
2014-01-01,458361289.858787
2014-04-01,492585428.779217
2014-07-01,551958483.650141
2014-10-01,559452976.885586
2015-01-01,501740757.8639019
2015-04-01,567197911.8387629
2015-07-01,634163127.8507088
2015-10-01,650957329.41532
2016-01-01,570866259.930324
2016-04-01,637798573.2920789
2016-07-01,670039064.8623089
2016-10-01,751284073.421079
2017-01-01,660893768.191307
2017-04-01,743962431.039398
2017-07-01,844119989.315872
2017-10-01,902552964.3439229
2018-01-01,809483219.528565
2018-04-01,908772012.41503
2018-07-01,1047448535.166509
2018-10-01,1040775452.248329
2019-01-01,948043693.090981
2019-04-01,1051610271.789759
2019-07-01,1178523775.717829
2019-10-01,1223872570.259939
2020-01-01,1095834093.207979
2020-04-01,1061245901.359719
2020-07-01,1440508562.270699
2020-10-01,1544122044.10238
2021-01-01,1439485730.254499
2021-04-01,1633315779.80097
2021-07-01,1975578633.13683
2021-10-01,2385419765.092909
2022-01-01,2589636478.47121
2022-04-01,3502565413.44039
2022-07-01,4351145687.05226
2022-10-01,4882509912.858559
2023-01-01,4798503056.201849
2023-04-01,5696948397.90071
2023-07-01,7894487347.520609
2023-10-01,8701530263.07821
2024-01-01,9075604052.75237
2024-04-01,10142411556.44239
2024-07-01,12307886731.72879
2024-10-01,13061323099.27479
2025-01-01,12493445139.91609
2025-04-01,14578556397.0512
