Tarih,TP_GSYIH01_IFK_CF
2000-01-01,1815647.45194573
2000-04-01,3146119.735924589
2000-07-01,7902907.427284319
2000-10-01,4344690.614148889
2001-01-01,2173043.28466863
2001-04-01,4084838.085900399
2001-07-01,10110283.42959979
2001-10-01,5369887.179891649
2002-01-01,3759291.09358668
2002-04-01,6826900.011563319
2002-07-01,16730923.0971328
2002-10-01,9595119.80148769
2003-01-01,4781154.14071678
2003-04-01,8898144.23685099
2003-07-01,21161748.07626089
2003-10-01,11427218.36329459
2004-01-01,5761798.12386566
2004-04-01,10058474.1672057
2004-07-01,24395801.07165849
2004-10-01,14179979.640912
2005-01-01,6622284.09499595
2005-04-01,11727574.16568009
2005-07-01,28455251.56530949
2005-10-01,15583325.8257362
2006-01-01,6848081.560231859
2006-04-01,12101549.9498852
2006-07-01,28904400.61759499
2006-10-01,16598215.04293729
2007-01-01,6838863.76917926
2007-04-01,12312300.20086839
2007-07-01,29782093.3981328
2007-10-01,17297294.05908019
2008-01-01,7690152.977990509
2008-04-01,13870118.01689619
2008-07-01,34073889.31500399
2008-10-01,18848603.8869454
2009-01-01,7913697.268340519
2009-04-01,15023527.82012099
2009-07-01,37365061.6978174
2009-10-01,20976437.14863879
2010-01-01,10838476.70017389
2010-04-01,17997251.0151394
2010-07-01,47358753.51849389
2010-10-01,28560576.00316629
2011-01-01,12515007.3878514
2011-04-01,20623174.16272319
2011-07-01,49360886.03154929
2011-10-01,32409576.47652149
2012-01-01,13230001.124415
2012-04-01,21539594.55215609
2012-07-01,54215987.1750629
2012-10-01,32785877.41853699
2013-01-01,10661866.4134842
2013-04-01,23380400.6051578
2013-07-01,57261812.6500741
2013-10-01,30506392.7107645
2014-01-01,12093257.6702439
2014-04-01,23439481.5622049
2014-07-01,62479788.2594553
2014-10-01,36830233.74637989
2015-01-01,15235344.35903269
2015-04-01,28938358.33977879
2015-07-01,78516646.058631
2015-10-01,39195904.3867935
2016-01-01,15798461.08313749
2016-04-01,28122012.3403906
2016-07-01,78859005.9696809
2016-10-01,42004046.59011559
2017-01-01,18335938.1055439
2017-04-01,33841340.10580729
2017-07-01,91195556.6764137
2017-10-01,51909249.77766299
2018-01-01,22299440.1231352
2018-04-01,38238533.9938692
2018-07-01,105851478.7207249
2018-10-01,62158654.45905669
2019-01-01,29666147.18717269
2019-04-01,51899818.356544
2019-07-01,137943831.7625829
2019-10-01,73409390.2460616
2020-01-01,34114648.747707
2020-04-01,61322629.3355981
2020-07-01,170836843.730152
2020-10-01,88052771.3356027
2021-01-01,39834499.35478039
2021-04-01,71992532.6681848
2021-07-01,198334234.3450379
2021-10-01,113928225.425692
2022-01-01,63375929.5419707
2022-04-01,171154425.3382509
2022-07-01,500925230.640199
2022-10-01,290397485.7361969
2023-01-01,131480037.138398
2023-04-01,264834357.461035
2023-07-01,886503072.404067
2023-10-01,448285679.3724399
2024-01-01,230722484.9375959
2024-04-01,432162846.5667709
2024-07-01,1253562703.42403
2024-10-01,678717838.152731
2025-01-01,298791495.8416119
2025-04-01,571986277.495934
