Tarih,TP_GSYIH08_IFK_CF
2000-01-01,3134690.77844038
2000-04-01,3707630.19032727
2000-07-01,3870099.28368694
2000-10-01,3881682.728112449
2001-01-01,5359800.09694188
2001-04-01,5092205.829763519
2001-07-01,5343383.245464219
2001-10-01,5609650.843883769
2002-01-01,6873848.433164839
2002-04-01,7423597.06179626
2002-07-01,7720867.69830125
2002-10-01,7463852.39268506
2003-01-01,9116128.24753548
2003-04-01,9886665.28468532
2003-07-01,10020375.2757865
2003-10-01,9798797.52130127
2004-01-01,11919986.16383589
2004-04-01,12403148.52372759
2004-07-01,12549627.9044166
2004-10-01,12440785.38445989
2005-01-01,14657602.74398959
2005-04-01,15222293.1889174
2005-07-01,15468950.0431043
2005-10-01,15517415.0211848
2006-01-01,17897322.7120409
2006-04-01,18691592.95260569
2006-07-01,18904033.88207339
2006-10-01,19159339.4249796
2007-01-01,21924634.27910999
2007-04-01,22538403.36991339
2007-07-01,22940294.7035247
2007-10-01,23024320.5478166
2008-01-01,25616540.245237
2008-04-01,26430981.04611989
2008-07-01,26172704.5828024
2008-10-01,26607310.7921332
2009-01-01,27418433.7428531
2009-04-01,27971034.4699467
2009-07-01,28655992.260228
2009-10-01,29373013.42380559
2010-01-01,30104076.11577539
2010-04-01,30735525.5697388
2010-07-01,31399097.63966849
2010-10-01,32031341.57110429
2011-01-01,32731175.6063524
2011-04-01,33337927.698747
2011-07-01,34092605.71185889
2011-10-01,35018331.18331059
2012-01-01,35489614.47937619
2012-04-01,36136973.3486632
2012-07-01,36940709.243151
2012-10-01,37839792.4777289
2013-01-01,38076117.2590384
2013-04-01,38790657.39845079
2013-07-01,39756031.3214745
2013-10-01,40860373.71211089
2014-01-01,41729781.5630403
2014-04-01,42716752.76504319
2014-07-01,43807210.388011
2014-10-01,45040526.4522467
2015-01-01,45452682.9336777
2015-04-01,46743111.2510856
2015-07-01,48435223.28987199
2015-10-01,50495354.65137519
2016-01-01,51193113.8670578
2016-04-01,52433438.0802448
2016-07-01,53584397.45181159
2016-10-01,55901769.95514459
2017-01-01,59027261.43811959
2017-04-01,60438713.51208219
2017-07-01,62824409.4839631
2017-10-01,66167570.5422187
2018-01-01,69442973.4590466
2018-04-01,71298014.617013
2018-07-01,75004528.8159849
2018-10-01,80067046.0186879
2019-01-01,82320602.9277823
2019-04-01,83895351.1699583
2019-07-01,87522440.24274468
2019-10-01,91695649.50899608
2020-01-01,94509653.2528757
2020-04-01,93853277.1405508
2020-07-01,98555453.0684088
2020-10-01,102760140.324421
2021-01-01,117957946.4051889
2021-04-01,120557391.173822
2021-07-01,126183134.5184659
2021-10-01,135838690.5607019
2022-01-01,175487600.1211499
2022-04-01,201871704.2110359
2022-07-01,219995026.168572
2022-10-01,237404415.4392369
2023-01-01,292681411.329033
2023-04-01,353241614.4094139
2023-07-01,416282888.0379199
2023-10-01,478766382.1654769
2024-01-01,649023662.4514298
2024-04-01,810547141.949555
2024-07-01,933054877.047237
2024-10-01,1011411236.12273
2025-01-01,1254776348.22913
2025-04-01,1388361382.201459
