Tarih,TP_GSYIH03_IFK_CF
2000-01-01,7441623.68288157
2000-04-01,8283453.215443889
2000-07-01,7912441.00894035
2000-10-01,8511057.42345363
2001-01-01,9682900.705497628
2001-04-01,10551133.674371
2001-07-01,11107461.5772162
2001-10-01,12603239.0490339
2002-01-01,13800986.75742149
2002-04-01,15393495.1053004
2002-07-01,15675027.9940229
2002-10-01,16711121.53135979
2003-01-01,18953593.8200335
2003-04-01,20479252.94584989
2003-07-01,19954188.4388884
2003-10-01,21846762.85657089
2004-01-01,23009764.6016125
2004-04-01,25123590.8429921
2004-07-01,24658396.92834879
2004-10-01,26635025.431866
2005-01-01,26866740.0352109
2005-04-01,28784156.93901589
2005-07-01,28208715.4824608
2005-10-01,32007726.85977499
2006-01-01,29565701.8064703
2006-04-01,35144814.4212097
2006-07-01,34102364.83055049
2006-10-01,38118698.3498032
2007-01-01,35388525.00023569
2007-04-01,37566222.31458619
2007-07-01,36542866.9813541
2007-10-01,41139922.1936876
2008-01-01,40549752.7453045
2008-04-01,43769549.3711092
2008-07-01,40533780.7518185
2008-10-01,40015877.60649059
2009-01-01,33615003.1627836
2009-04-01,38438594.1423609
2009-07-01,39355935.1804018
2009-10-01,42776287.38147459
2010-01-01,38400286.9363588
2010-04-01,44833451.9532767
2010-07-01,44100028.3880864
2010-10-01,50435721.4971934
2011-01-01,51077618.36949419
2011-04-01,58239234.7964726
2011-07-01,59614374.4679362
2011-10-01,64804784.81497979
2012-01-01,58402104.6947716
2012-04-01,65205214.04929109
2012-07-01,62696496.54731909
2012-10-01,67153711.76977938
2013-01-01,65806632.017475
2013-04-01,74222608.28853048
2013-07-01,76861560.3225146
2013-10-01,83531415.7329019
2014-01-01,81717631.6720745
2014-04-01,87156640.203528
2014-07-01,86746875.6698947
2014-10-01,93038187.5788011
2015-01-01,85609550.5897478
2015-04-01,98655856.5144795
2015-07-01,97829611.88698208
2015-10-01,112656496.182262
2016-01-01,101720082.547334
2016-04-01,111974603.5618939
2016-07-01,100979638.8613619
2016-10-01,128163368.6135589
2017-01-01,120238647.7084189
2017-04-01,132745093.538818
2017-07-01,138044239.323284
2017-10-01,162827330.7797229
2018-01-01,151049708.490325
2018-04-01,169981960.523755
2018-07-01,192200226.363779
2018-10-01,206554346.531803
2019-01-01,180316055.0814149
2019-04-01,200576946.082803
2019-07-01,202882544.5991869
2019-10-01,220032465.968306
2020-01-01,211426178.716953
2020-04-01,185471626.994886
2020-07-01,261599015.2358689
2020-10-01,320215999.2354249
2021-01-01,309394322.8290929
2021-04-01,366797074.636146
2021-07-01,406324371.8360599
2021-10-01,562131870.040233
2022-01-01,611704038.172543
2022-04-01,821431390.441824
2022-07-01,882949808.577422
2022-10-01,1025250662.631319
2023-01-01,1006324880.56076
2023-04-01,1116926794.729929
2023-07-01,1473311726.777029
2023-10-01,1677780281.728859
2024-01-01,1681638795.35734
2024-04-01,1721400172.166579
2024-07-01,1955877748.02901
2024-10-01,2150677874.55278
2025-01-01,1996267296.7588
2025-04-01,2308655671.90291
